table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population by Sex, Age, Race, and Hispanic Origin for the United States: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Race Alone Group: Black or African American,,,,,,,,,,,,
"Sex, Age, and Hispanic Origin","April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"TOTAL
POPULATION","40,250,635","40,254,450","40,355,385","40,783,547","41,225,339","41,651,863","42,090,120","42,532,491","42,970,183","43,374,142","43,732,024","44,075,086"
.Under 5 years,"3,055,264","3,055,278","3,053,747","3,047,797","3,023,448","2,999,863","3,000,379","3,009,364","3,014,063","3,009,018","2,988,646","2,958,158"
.5 to 9 years,"3,012,701","3,012,715","3,006,339","2,999,736","3,029,407","3,070,104","3,088,300","3,096,524","3,095,527","3,075,790","3,053,239","3,052,301"
.10 to 14 years,"3,154,446","3,154,508","3,153,864","3,155,322","3,137,115","3,107,929","3,085,971","3,052,801","3,048,919","3,081,001","3,122,249","3,139,599"
.15 to 19 years,"3,572,918","3,573,296","3,557,015","3,457,830","3,364,668","3,287,420","3,228,138","3,217,108","3,220,973","3,203,919","3,172,833","3,148,586"
.20 to 24 years,"3,239,789","3,240,211","3,275,842","3,427,037","3,563,770","3,656,258","3,684,550","3,631,895","3,533,785","3,441,090","3,361,496","3,298,857"
.25 to 29 years,"2,911,411","2,911,875","2,917,619","2,954,426","3,001,295","3,073,491","3,198,308","3,346,453","3,503,736","3,637,536","3,724,570","3,746,444"
.30 to 34 years,"2,743,099","2,743,534","2,762,626","2,833,278","2,890,845","2,941,832","2,966,927","2,981,142","3,023,144","3,070,370","3,141,045","3,261,920"
.35 to 39 years,"2,706,420","2,706,769","2,699,390","2,645,112","2,639,793","2,660,000","2,717,701","2,800,577","2,873,951","2,931,431","2,981,005","3,003,920"
.40 to 44 years,"2,751,583","2,751,945","2,748,955","2,762,151","2,774,438","2,767,213","2,748,974","2,710,851","2,660,817","2,654,506","2,672,645","2,726,255"
.45 to 49 years,"2,901,223","2,901,610","2,898,791","2,873,829","2,833,238","2,789,667","2,737,186","2,724,512","2,740,491","2,753,659","2,746,568","2,728,136"
.50 to 54 years,"2,753,171","2,753,469","2,763,895","2,801,635","2,816,475","2,833,319","2,843,338","2,832,864","2,810,437","2,771,471","2,729,435","2,678,510"
.55 to 59 years,"2,246,170","2,246,346","2,265,150","2,345,226","2,443,301","2,523,269","2,590,386","2,653,945","2,691,878","2,707,137","2,723,622","2,733,691"
.60 to 64 years,"1,715,204","1,715,296","1,739,593","1,860,458","1,920,281","1,983,117","2,056,477","2,131,297","2,207,059","2,298,999","2,373,475","2,436,184"
.65 to 69 years,"1,180,737","1,180,801","1,188,966","1,228,048","1,318,008","1,400,521","1,495,409","1,599,657","1,709,010","1,761,234","1,816,983","1,883,334"
.70 to 74 years,"864,967","865,021","870,909","895,876","930,388","975,440","1,017,139","1,056,700","1,092,825","1,174,119","1,248,331","1,332,938"
.75 to 79 years,"625,255","625,335","629,414","651,709","670,102","688,891","709,719","733,719","756,729","786,222","825,739","861,902"
.80 to 84 years,"430,026","430,075","432,552","439,058","448,551","460,522","473,054","487,628","506,842","521,767","538,092","555,231"
.85 years and over,"386,251","386,366","390,718","405,019","420,216","433,007","448,164","465,454","479,997","494,873","512,051","529,120"
,,,,,,,,,,,,
.Under 18 years,"11,316,768","11,317,041","11,293,417","11,201,622","11,127,340","11,087,430","11,086,133","11,088,711","11,088,400","11,077,293","11,029,995","10,992,017"
..Under 5 years,"3,055,264","3,055,278","3,053,747","3,047,797","3,023,448","2,999,863","3,000,379","3,009,364","3,014,063","3,009,018","2,988,646","2,958,158"
..5 to 13 years,"5,529,892","5,529,931","5,529,802","5,524,305","5,533,262","5,546,678","5,525,425","5,516,889","5,531,480","5,552,004","5,565,563","5,576,016"
..14 to 17 years,"2,731,612","2,731,832","2,709,868","2,629,520","2,570,630","2,540,889","2,560,329","2,562,458","2,542,857","2,516,271","2,475,786","2,457,843"
.18 to 64 years,"25,446,631","25,449,811","25,549,409","25,962,215","26,310,734","26,606,052","26,860,502","27,100,622","27,336,380","27,558,634","27,760,833","27,920,544"
..18 to 24 years,"4,718,350","4,718,967","4,753,390","4,886,100","4,991,068","5,034,144","5,001,205","4,918,981","4,824,867","4,733,525","4,668,468","4,605,484"
..25 to 44 years,"11,112,513","11,114,123","11,128,590","11,194,967","11,306,371","11,442,536","11,631,910","11,839,023","12,061,648","12,293,843","12,519,265","12,738,539"
..45 to 64 years,"9,615,768","9,616,721","9,667,429","9,881,148","10,013,295","10,129,372","10,227,387","10,342,618","10,449,865","10,531,266","10,573,100","10,576,521"
.65 years and over,"3,487,236","3,487,598","3,512,559","3,619,710","3,787,265","3,958,381","4,143,485","4,343,158","4,545,403","4,738,215","4,941,196","5,162,525"
.85 years and over,"386,251","386,366","390,718","405,019","420,216","433,007","448,164","465,454","479,997","494,873","512,051","529,120"
,,,,,,,,,,,,
.16 years and over,"30,357,703","30,361,383","30,477,612","30,948,137","31,402,313","31,838,320","32,281,600","32,722,412","33,176,528","33,592,771","33,960,922","34,313,058"
.18 years and over,"28,933,867","28,937,409","29,061,968","29,581,925","30,097,999","30,564,433","31,003,987","31,443,780","31,881,783","32,296,849","32,702,029","33,083,069"
.15 to 44 years,"17,925,220","17,927,630","17,961,447","18,079,834","18,234,809","18,386,214","18,544,598","18,688,026","18,816,406","18,938,852","19,053,594","19,185,982"
,,,,,,,,,,,,
.Median age (years),32.0,32.0,32.1,32.3,32.5,32.8,33.0,33.2,33.4,33.6,33.8,34.1
.MALE,"19,205,040","19,207,770","19,259,242","19,475,259","19,700,010","19,914,792","20,134,407","20,357,221","20,573,703","20,771,389","20,945,087","21,113,340"
..Under 5 years,"1,548,953","1,548,960","1,548,409","1,546,198","1,533,319","1,521,906","1,522,482","1,526,897","1,527,933","1,524,509","1,513,910","1,499,357"
..5 to 9 years,"1,529,212","1,529,218","1,525,909","1,521,375","1,536,770","1,556,632","1,565,120","1,568,916","1,569,310","1,558,854","1,547,770","1,547,452"
..10 to 14 years,"1,603,746","1,603,790","1,602,716","1,603,442","1,593,510","1,577,494","1,565,310","1,547,647","1,544,549","1,561,487","1,582,033","1,590,426"
..15 to 19 years,"1,816,259","1,816,537","1,809,975","1,761,356","1,712,942","1,671,111","1,640,055","1,633,998","1,635,739","1,626,316","1,609,074","1,595,563"
..20 to 24 years,"1,604,113","1,604,405","1,623,641","1,707,871","1,787,599","1,844,756","1,866,743","1,845,862","1,797,697","1,748,957","1,705,270","1,672,322"
..25 to 29 years,"1,400,211","1,400,580","1,405,096","1,429,810","1,461,020","1,504,832","1,574,375","1,655,839","1,742,972","1,819,280","1,872,724","1,890,983"
..30 to 34 years,"1,300,313","1,300,646","1,310,435","1,346,483","1,377,955","1,405,883","1,422,569","1,434,826","1,462,427","1,492,960","1,535,037","1,601,917"
..35 to 39 years,"1,271,729","1,271,988","1,268,752","1,244,745","1,243,226","1,255,471","1,285,212","1,328,078","1,365,420","1,396,215","1,423,089","1,438,276"
..40 to 44 years,"1,301,039","1,301,288","1,299,220","1,302,819","1,307,973","1,302,270","1,291,685","1,272,953","1,250,989","1,248,026","1,258,383","1,285,453"
..45 to 49 years,"1,367,345","1,367,648","1,366,436","1,354,994","1,335,032","1,314,137","1,289,159","1,282,901","1,287,794","1,293,192","1,287,467","1,276,791"
..50 to 54 years,"1,290,098","1,290,324","1,295,327","1,313,152","1,320,507","1,327,541","1,332,192","1,327,125","1,317,006","1,297,642","1,277,470","1,253,207"
