,state,year,pregnancyratelt15,pregnancyrate1517,pregnancyrate1819,pregnancyrate1519,pregnancyratelt20,pregnancyrate2024,pregnancyrate2529,pregnancyrate3034,pregnancyrate3539,pregnancyrate40plus,abortionratelt15,abortionrate1517,abortionrate1819,abortionrate1519,abortionratelt20,abortionrate2024,abortionrate2529,abortionrate3034,abortionrate3539,abortionrate40plus,birthratelt15,birthrate1517,birthrate1819,birthrate1519,birthratelt20,birthrate2024,birthrate2529,birthrate3034,birthrate3539,birthrate40plus,abortionratiolt15,abortionratio1517,abortionratio1819,abortionratio1519,abortionratiolt20,abortionratio2024,abortionratio2529,abortionratio3034,abortionratio3539,abortionratio40plus,pregnancieslt15,pregnancies1517,pregnancies1819,pregnancies1519,pregnancieslt20,pregnancies2024,pregnancies2529,pregnancies3034,pregnancies3539,pregnancies40plus,abortionslt15,abortions1517,abortions1819,abortions1519,abortionslt20,abortions2024,abortions2529,abortions3034,abortions3539,abortions40plus,birthslt15,births1517,births1819,births1519,birthslt20,births2024,births2529,births3034,births3539,births40plus,miscarriageslt15,miscarriages1517,miscarriages1819,miscarriages1519,miscarriageslt20,miscarriages2024,miscarriages2529,miscarriages3034,miscarriages3539,miscarriages40plus,populationlt15,population1517,population1819,population1519,populationlt20,population2024,population2529,population3034,population3539,population40plus,population1544,abortionstotal,birthstotal,pregnancyratetotal,birthratetotal,abortionratetotal,abortionratiototal,miscarriagestotal,pregnanciestotal,notes,versiondate
13,AL,2014,3.6,20.8,82.3,45.3,46.0,134.5,151.0,110.2,44.5,8.7,1.1,3.2,10.9,6.3,6.5,16.4,13.7,8.5,4.4,1.3,2.0,14.4,58.6,32.0,32.4,97.0,113.3,84.1,33.1,6.0,546.6,223.5,185.7,196.0,200.4,169.1,121.3,101.4,131.8,220.8,120.0,1960.0,5130.0,7090.0,7210.0,23690.0,24190.0,17280.0,6700.0,1390.0,30.0,300.0,680.0,980.0,1020.0,2890.0,2200.0,1340.0,660.0,210.0,64.0,1358,3651,5009,5073,17092,18141,13176,4980,960,20.0,300.0,800.0,1100.0,1120.0,3710.0,3850.0,2770.0,1060.0,210.0,32193,94220,62265,156485,156485,176143,160150,156749,150438,159715,959680,8310,59422,83.8,61.9,8.7,139.9,12720,80450,, 1 Mar 2021
14,AL,2015,3.1,19.2,78.1,42.4,43.0,135.8,150.5,111.6,46.4,8.9,1.0,2.6,10.3,5.7,5.9,16.8,13.3,8.4,4.3,1.2,1.6,13.6,55.7,30.2,30.5,97.8,113.2,85.3,34.7,6.3,610.8,194.1,184.8,187.4,192.0,171.4,117.9,99.0,125.2,189.8,100.0,1830.0,4830.0,6660.0,6760.0,23320.0,24640.0,17390.0,7050.0,1380.0,30.0,250.0,640.0,890.0,920.0,2880.0,2180.0,1320.0,660.0,190.0,52.0,1295,3444,4739,4791,16794,18531,13287,5272,982,10.0,280.0,750.0,1040.0,1050.0,3650.0,3920.0,2790.0,1120.0,220.0,31726,95249,61852,157101,157101,171773,163711,155773,152021,156213,956592,8150,59657,84.2,62.4,8.5,136.5,12750,80550,, 1 Mar 2021
15,AL,2016,2.9,18.6,73.1,40.0,40.5,133.3,148.4,113.1,47.3,9.1,0.9,2.9,9.2,5.4,5.5,15.8,13.7,8.4,4.1,1.3,1.6,12.8,52.4,28.4,28.7,96.6,111.1,86.6,35.7,6.4,571.4,223.8,176.2,189.3,193.3,163.0,123.0,96.8,115.7,200.6,90.0,1780.0,4530.0,6310.0,6400.0,22160.0,24900.0,17560.0,7310.0,1370.0,30.0,280.0,570.0,850.0,880.0,2620.0,2290.0,1300.0,640.0,190.0,48.0,1231,3249,4480,4528,16066,18649,13440,5505,963,10.0,270.0,710.0,980.0,990.0,3480.0,3960.0,2820.0,1160.0,210.0,30215,95841,61960,157801,157801,166262,167822,155261,154324,151166,952636,7920,59151,83.7,62.1,8.3,133.9,12620,79690,, 1 Mar 2021
16,AL,2017,2.8,16.3,71.2,38.1,38.7,132.7,146.5,113.2,48.4,9.5,1.0,2.4,9.2,5.1,5.3,15.1,13.2,8.2,4.4,1.1,1.5,11.4,50.8,27.1,27.3,96.8,110.0,86.8,36.3,6.9,660.2,214.0,181.9,190.0,194.8,155.8,120.0,94.1,120.6,164.3,80.0,1540.0,4430.0,5980.0,6060.0,21640.0,25010.0,17500.0,7530.0,1420.0,30.0,230.0,580.0,810.0,830.0,2460.0,2250.0,1260.0,680.0,170.0,44.0,1076,3165,4241,4285,15780,18774,13425,5647,1030,10.0,240.0,690.0,930.0,940.0,3400.0,3980.0,2810.0,1200.0,220.0,30085,94528,62254,156782,156782,163072,170715,154630,155452,149348,949999,7660,58941,83.3,62.0,8.1,129.9,12550,79150,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 1 Mar 2021
30,AK,2014,3.2,16.0,93.4,44.3,45.0,160.4,167.3,140.0,67.0,17.8,,4.0,18.8,9.4,9.7,20.5,15.5,9.9,5.6,2.8,,9.7,60.6,28.3,28.6,114.8,125.2,107.6,50.7,12.3,,416.2,309.8,332.9,339.3,178.9,123.9,91.8,111.3,228.0,20.0,230.0,780.0,1010.0,1030.0,4160.0,4730.0,3700.0,1470.0,380.0,,60.0,160.0,210.0,220.0,530.0,440.0,260.0,120.0,60.0,,140,505,645,652,2980,3536,2844,1115,265,,30.0,120.0,150.0,150.0,650.0,750.0,590.0,240.0,60.0,4923,14466,8335,22801,22801,25951,28238,26432,21999,21586,147007,1640,11392,105.2,77.5,11.1,143.8,2440,15470,, 1 Mar 2021
31,AK,2015,,15.6,95.0,44.1,44.4,151.5,164.6,139.4,72.0,16.8,,3.4,15.8,7.8,8.0,20.3,14.6,8.9,6.2,2.5,,9.9,64.7,29.5,29.7,107.6,123.8,108.0,54.4,11.8,,340.8,243.8,264.6,270.3,188.3,118.0,82.0,113.4,210.8,,220.0,760.0,990.0,1000.0,3830.0,4690.0,3730.0,1630.0,350.0,,50.0,130.0,180.0,180.0,510.0,420.0,240.0,140.0,50.0,,142,520,662,665,2723,3525,2893,1230,246,,30.0,120.0,150.0,150.0,600.0,750.0,600.0,260.0,50.0,4792,14369,8036,22405,22405,25296,28473,26786,22617,20917,146494,1540,11282,104.0,77.0,10.5,136.2,2410,15230,, 1 Mar 2021
32,AK,2016,2.8,14.4,84.7,39.6,40.2,145.5,161.9,140.8,72.6,17.0,,4.5,13.1,7.6,7.8,17.3,14.0,9.7,5.8,2.3,,7.9,58.6,26.0,26.3,105.4,122.0,108.4,55.2,12.1,,565.3,223.3,290.2,294.5,164.3,114.9,89.3,104.5,191.8,10.0,210.0,680.0,890.0,900.0,3540.0,4700.0,3850.0,1710.0,350.0,,60.0,100.0,170.0,170.0,420.0,410.0,260.0,140.0,50.0,,114,469,583,590,2563,3546,2965,1299,246,,30.0,100.0,130.0,140.0,550.0,750.0,620.0,270.0,50.0,4765,14383,8009,22392,22392,24318,29058,27341,23534,20369,147012,1450,11209,102.3,76.2,9.9,129.4,2390,15050,, 1 Mar 2021
33,AK,2017,3.6,13.5,70.2,33.7,34.5,135.0,152.7,132.8,71.1,19.1,,3.6,12.2,6.6,7.1,16.8,13.1,11.2,5.8,2.0,,8.0,47.3,22.0,22.3,97.1,115.2,100.4,53.9,14.1,,446.1,258.2,302.3,317.0,173.1,114.0,111.6,108.4,141.7,20.0,190.0,550.0,740.0,760.0,3140.0,4470.0,3620.0,1720.0,390.0,,50.0,100.0,150.0,160.0,390.0,380.0,310.0,140.0,40.0,,114,372,486,492,2259,3369,2735,1303,287,,30.0,80.0,110.0,110.0,490.0,710.0,580.0,270.0,60.0,4772,14246,7864,22110,22110,23263,29239,27239,24180,20338,146369,1420,10445,96.3,71.4,9.7,135.8,2230,14090,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 1 Mar 2021
47,AZ,2014,1.8,18.9,77.4,42.2,42.6,128.5,155.1,127.7,66.1,15.8,0.5,2.6,10.6,5.8,5.9,18.2,15.9,10.1,6.5,2.7,1.0,13.4,54.8,29.9,30.1,90.3,114.7,97.1,49.1,10.7,470.3,192.8,193.4,193.2,195.2,201.7,138.2,104.4,133.0,253.1,80.0,2520.0,6840.0,9350.0,9440.0,30510.0,34020.0,27970.0,13580.0,3300.0,20.0,340.0,940.0,1280.0,1300.0,4330.0,3480.0,2220.0,1340.0,570.0,48.0,1783,4839,6622,6670,21459,25164,21271,10089,2234,10.0,390.0,1060.0,1450.0,1460.0,4720.0,5380.0,4480.0,2150.0,500.0,45739,133356,88377,221733,221733,237521,219312,219017,205541,209198,1312322,13240,86887,90.5,66.2,10.1,152.3,18700,118820,, 1 Mar 2021
48,AZ,2015,1.8,16.7,69.5,37.7,38.1,124.9,152.2,126.6,65.5,16.3,0.6,2.3,10.7,5.6,5.8,18.0,16.3,10.9,6.9,2.7,0.9,11.8,48.1,26.3,26.5,87.5,111.9,95.5,48.2,11.1,641.7,193.7,222.5,214.7,217.7,206.0,145.3,114.5,143.4,238.8,80.0,2270.0,6220.0,8490.0,8570.0,29480.0,34470.0,27810.0,13710.0,3390.0,30.0,310.0,960.0,1270.0,1300.0,4260.0,3680.0,2400.0,1450.0,550.0,42.0,1603,4307,5910,5952,20664,25347,20971,10101,2316,10.0,350.0,960.0,1310.0,1320.0,4560.0,5440.0,4430.0,2170.0,520.0,45450,135417,89512,224929,224929,236050,226457,219669,209431,207995,1324531,13640,85351,88.7,64.4,10.3,159.8,18430,117420,, 1 Mar 2021
49,AZ,2016,2.3,14.8,64.7,34.7,35.1,121.9,147.7,128.3,64.3,16.1,0.7,2.2,11.6,5.9,6.1,18.4,16.4,11.2,6.7,2.7,1.2,10.4,43.2,23.5,23.7,84.7,108.1,96.7,47.4,10.9,593.8,207.6,268.6,252.3,255.8,217.4,152.1,115.4,142.3,244.6,100.0,2040.0,5880.0,7920.0,8020.0,28590.0,34700.0,28410.0,13830.0,3320.0,30.0,300.0,1060.0,1350.0,1380.0,4320.0,3860.0,2470.0,1450.0,550.0,55.0,1426,3931,5357,5412,19868,25381,21410,10192,2257,10.0,310.0,890.0,1210.0,1220.0,4410.0,5460.0,4530.0,2180.0,510.0,44691,137425,90911,228336,228336,234570,234892,221386,215038,206185,1340407,14040,84520,87.2,63.1,10.5,166.1,18310,116870,, 1 Mar 2021
