"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"18 to 64 years","All Incomes","All Races","Female Only","2018","01000","Alabama","1,492,588","0","200,647","8,170","13.4","0.5","1,291,941","8,170","86.6","0.5"
"18 to 64 years","All Incomes","All Races","Female Only","2017","01000","Alabama","1,493,128","0","186,351","7,829","12.5","0.5","1,306,777","7,829","87.5","0.5"
"18 to 64 years","All Incomes","All Races","Female Only","2016","01000","Alabama","1,495,614","0","185,643","7,740","12.4","0.5","1,309,971","7,740","87.6","0.5"
"18 to 64 years","All Incomes","All Races","Female Only","2015","01000","Alabama","1,503,978","0","204,630","8,148","13.6","0.5","1,299,348","8,148","86.4","0.5"
"18 to 64 years","All Incomes","All Races","Female Only","2014","01000","Alabama","1,507,372","0","248,460","8,594","16.5","0.6","1,258,912","8,594","83.5","0.6"
"18 to 64 years","All Incomes","All Races","Female Only","2013","01000","Alabama","1,508,460","0","281,988","9,315","18.7","0.6","1,226,472","9,315","81.3","0.6"
"18 to 64 years","All Incomes","All Races","Female Only","2012","01000","Alabama","1,504,402","0","282,434","8,671","18.8","0.6","1,221,969","8,671","81.2","0.6"
"18 to 64 years","All Incomes","All Races","Female Only","2011","01000","Alabama","1,506,470","0","290,751","9,150","19.3","0.6","1,215,719","9,150","80.7","0.6"
"18 to 64 years","All Incomes","All Races","Female Only","2010","01000","Alabama","1,500,365","0","288,231","9,010","19.2","0.6","1,212,135","9,010","80.8","0.6"
"18 to 64 years","All Incomes","All Races","Female Only","2009","01000","Alabama","1,462,858","0","261,222","9,063","17.9","0.6","1,201,635","9,063","82.1","0.6"
"18 to 64 years","All Incomes","All Races","Female Only","2008","01000","Alabama","1,449,472","0","247,709","8,552","17.1","0.6","1,201,763","8,552","82.9","0.6"
"18 to 64 years","All Incomes","All Races","Female Only","2007","01000","Alabama","1,461,256","0","228,901","18,431","15.7","1.3","1,232,355","19,112","84.3","1.3"
"18 to 64 years","All Incomes","All Races","Female Only","2006","01000","Alabama","1,457,067","0","249,816","18,662","17.1","1.3","1,207,251","19,825","82.9","1.4"
"18 to 64 years","All Incomes","All Races","Female Only","2018","02000","Alaska","217,700","0","30,591","2,066","14.1","0.9","187,109","2,066","85.9","0.9"
"18 to 64 years","All Incomes","All Races","Female Only","2017","02000","Alaska","219,463","0","31,705","2,115","14.4","1.0","187,758","2,115","85.6","1.0"
"18 to 64 years","All Incomes","All Races","Female Only","2016","02000","Alaska","221,875","0","35,558","2,170","16.0","1.0","186,317","2,170","84.0","1.0"
"18 to 64 years","All Incomes","All Races","Female Only","2015","02000","Alaska","220,019","0","38,363","2,169","17.4","1.0","181,656","2,169","82.6","1.0"
"18 to 64 years","All Incomes","All Races","Female Only","2014","02000","Alaska","221,583","0","46,730","2,413","21.1","1.1","174,853","2,413","78.9","1.1"
"18 to 64 years","All Incomes","All Races","Female Only","2013","02000","Alaska","222,651","0","50,117","2,485","22.5","1.1","172,534","2,485","77.5","1.1"
"18 to 64 years","All Incomes","All Races","Female Only","2012","02000","Alaska","226,531","0","53,482","2,575","23.6","1.1","173,050","2,575","76.4","1.1"
"18 to 64 years","All Incomes","All Races","Female Only","2011","02000","Alaska","224,894","0","53,007","2,685","23.6","1.2","171,887","2,685","76.4","1.2"
"18 to 64 years","All Incomes","All Races","Female Only","2010","02000","Alaska","221,600","0","50,281","2,882","22.7","1.3","171,320","2,882","77.3","1.3"
