"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"Under 65 years","<= 138% of Poverty","All Races","Female Only","2018","01000","Alabama","548,269","9,203","105,389","5,738","19.2","1.0","442,880","9,007","80.8","1.0"
"Under 65 years","<= 138% of Poverty","All Races","Female Only","2017","01000","Alabama","555,589","9,153","99,273","5,458","17.9","0.9","456,316","9,024","82.1","0.9"
"Under 65 years","<= 138% of Poverty","All Races","Female Only","2016","01000","Alabama","572,494","8,712","101,875","5,573","17.8","0.9","470,619","8,755","82.2","0.9"
"Under 65 years","<= 138% of Poverty","All Races","Female Only","2015","01000","Alabama","605,341","8,334","120,256","6,063","19.9","1.0","485,085","8,713","80.1","1.0"
"Under 65 years","<= 138% of Poverty","All Races","Female Only","2014","01000","Alabama","626,053","8,210","146,360","6,434","23.4","1.0","479,693","8,692","76.6","1.0"
"Under 65 years","<= 138% of Poverty","All Races","Female Only","2013","01000","Alabama","630,217","8,325","164,667","6,919","26.1","1.0","465,550","8,822","73.9","1.0"
"Under 65 years","<= 138% of Poverty","All Races","Female Only","2012","01000","Alabama","637,179","7,957","167,712","6,548","26.3","1.0","469,467","8,309","73.7","1.0"
"Under 65 years","<= 138% of Poverty","All Races","Female Only","2011","01000","Alabama","636,992","8,770","176,607","7,007","27.7","1.0","460,384","8,937","72.3","1.0"
"Under 65 years","<= 138% of Poverty","All Races","Female Only","2010","01000","Alabama","627,042","8,921","176,847","6,958","28.2","1.0","450,195","8,938","71.8","1.0"
"Under 65 years","<= 138% of Poverty","All Races","Female Only","2009","01000","Alabama","570,845","11,545","158,085","7,263","27.7","1.1","412,760","10,676","72.3","1.1"
"Under 65 years","<= 138% of Poverty","All Races","Female Only","2008","01000","Alabama","524,435","10,529","137,374","6,360","26.2","1.1","387,061","9,725","73.8","1.1"
"Under 65 years","<= 138% of Poverty","All Races","Female Only","2018","02000","Alaska","52,971","1,842","10,961","1,001","20.7","1.7","42,010","1,673","79.3","1.7"
"Under 65 years","<= 138% of Poverty","All Races","Female Only","2017","02000","Alaska","54,658","1,879","10,926","942","20.0","1.6","43,732","1,710","80.0","1.6"
"Under 65 years","<= 138% of Poverty","All Races","Female Only","2016","02000","Alaska","53,440","1,832","12,473","1,004","23.3","1.7","40,967","1,647","76.7","1.7"
"Under 65 years","<= 138% of Poverty","All Races","Female Only","2015","02000","Alaska","56,063","1,818","14,646","1,093","26.1","1.7","41,417","1,637","73.9","1.7"
