"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2018","01000","Alabama","487,273","5,779","79,191","4,622","16.3","0.9","408,082","6,594","83.7","0.9"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2017","01000","Alabama","488,511","5,674","77,234","4,516","15.8","0.9","411,277","6,452","84.2","0.9"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2016","01000","Alabama","495,504","5,367","73,814","4,391","14.9","0.9","421,690","6,241","85.1","0.9"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2015","01000","Alabama","505,921","5,117","80,597","4,598","15.9","0.9","425,324","6,244","84.1","0.9"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2014","01000","Alabama","518,477","4,745","98,392","4,783","19.0","0.9","420,085","6,010","81.0","0.9"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2013","01000","Alabama","522,394","4,741","109,351","5,150","20.9","1.0","413,043","6,238","79.1","1.0"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2012","01000","Alabama","525,109","4,666","113,817","4,889","21.7","0.9","411,291","5,952","78.3","0.9"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2011","01000","Alabama","523,115","5,229","115,841","5,187","22.1","1.0","407,274","6,351","77.9","1.0"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2010","01000","Alabama","513,906","5,251","111,418","5,133","21.7","1.0","402,488","6,406","78.3","1.0"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2009","01000","Alabama","486,157","6,192","100,321","5,034","20.6","1.0","385,836","6,929","79.4","1.0"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2008","01000","Alabama","469,592","5,874","88,944","4,540","18.9","0.9","380,648","6,486","81.1","0.9"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2018","02000","Alaska","46,832","1,370","9,747","901","20.8","1.8","37,085","1,392","79.2","1.8"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2017","02000","Alaska","47,318","1,369","10,405","895","22.0","1.8","36,913","1,379","78.0","1.8"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2016","02000","Alaska","46,930","1,360","11,643","959","24.8","1.9","35,287","1,383","75.2","1.9"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2015","02000","Alaska","48,505","1,316","13,084","1,007","27.0","2.0","35,421","1,358","73.0","2.0"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2014","02000","Alaska","49,809","1,277","15,814","1,055","31.7","2.0","33,995","1,334","68.3","2.0"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2013","02000","Alaska","51,063","1,296","17,718","1,134","34.7","2.0","33,345","1,336","65.3","2.0"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2012","02000","Alaska","53,666","1,382","19,445","1,211","36.2","2.0","34,221","1,368","63.8","2.0"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2011","02000","Alaska","53,541","1,480","19,191","1,276","35.8","2.1","34,351","1,430","64.2","2.1"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2010","02000","Alaska","53,562","1,548","18,317","1,344","34.2","2.3","35,245","1,544","65.8","2.3"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2009","02000","Alaska","48,495","1,704","16,110","1,227","33.2","2.3","32,385","1,617","66.8","2.3"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2008","02000","Alaska","48,129","1,665","14,269","1,165","29.6","2.2","33,860","1,605","70.4","2.2"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2018","04000","Arizona","609,655","7,017","104,276","5,618","17.1","0.9","505,379","8,029","82.9","0.9"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2017","04000","Arizona","608,556","6,635","98,845","5,345","16.2","0.9","509,711","7,655","83.8","0.9"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2016","04000","Arizona","613,117","6,360","95,339","5,251","15.5","0.8","517,778","7,495","84.5","0.8"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2015","04000","Arizona","624,028","5,964","99,608","5,350","16.0","0.8","524,420","7,314","84.0","0.8"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2014","04000","Arizona","628,115","5,479","128,469","5,806","20.5","0.9","499,646","7,220","79.5","0.9"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2013","04000","Arizona","624,595","5,491","168,730","6,511","27.0","1.0","455,865","7,462","73.0","1.0"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2012","04000","Arizona","618,926","5,560","164,940","6,165","26.6","1.0","453,985","7,290","73.4","1.0"
"40 to 64 years","<= 400% of Poverty","All Races","Female Only","2011","04000","Arizona","607,726","6,480","151,592","6,681","24.9","1.1","456,135","8,132","75.1","1.1"
