"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"40 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2018","01000","Alabama","219,601","0","27,565","2,832","12.6","1.3","192,036","2,832","87.4","1.3"
"40 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2017","01000","Alabama","219,214","0","24,153","2,628","11.0","1.2","195,061","2,628","89.0","1.2"
"40 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2016","01000","Alabama","218,709","0","23,815","2,574","10.9","1.2","194,894","2,574","89.1","1.2"
"40 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2015","01000","Alabama","219,740","0","27,126","2,696","12.3","1.2","192,614","2,696","87.7","1.2"
"40 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2014","01000","Alabama","219,029","0","33,123","2,833","15.1","1.3","185,906","2,833","84.9","1.3"
"40 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2013","01000","Alabama","217,502","0","39,854","3,121","18.3","1.4","177,648","3,121","81.7","1.4"
"40 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2012","01000","Alabama","214,650","0","38,678","2,860","18.0","1.3","175,972","2,860","82.0","1.3"
"40 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2011","01000","Alabama","213,717","0","39,456","2,972","18.5","1.4","174,261","2,972","81.5","1.4"
"40 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2010","01000","Alabama","210,263","0","39,557","3,109","18.8","1.5","170,706","3,109","81.2","1.5"
"40 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2009","01000","Alabama","200,445","0","36,984","3,049","18.5","1.5","163,461","3,049","81.5","1.5"
"40 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2008","01000","Alabama","200,520","0","31,880","2,778","15.9","1.4","168,639","2,778","84.1","1.4"
"40 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2007","01000","Alabama","200,250","0","32,987","4,384","16.5","2.2","167,264","4,701","83.5","2.3"
"40 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2006","01000","Alabama","197,679","0","36,136","4,962","18.3","2.5","161,543","5,480","81.7","2.8"
"40 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2018","02000","Alaska","2,854","0","364","81","12.8","2.8","2,490","81","87.2","2.8"
"40 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2017","02000","Alaska","2,886","0","355","82","12.3","2.8","2,531","82","87.7","2.8"
"40 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2016","02000","Alaska","2,894","0","393","87","13.6","3.0","2,501","87","86.4","3.0"
"40 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2015","02000","Alaska","2,941","0","444","90","15.1","3.1","2,497","90","84.9","3.1"
"40 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2014","02000","Alaska","2,990","0","577","102","19.3","3.4","2,413","102","80.7","3.4"
"40 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2013","02000","Alaska","3,052","0","690","111","22.6","3.6","2,362","111","77.4","3.6"
"40 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2012","02000","Alaska","3,113","0","697","114","22.4","3.7","2,416","114","77.6","3.7"
"40 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2011","02000","Alaska","3,000","0","722","111","24.1","3.7","2,278","111","75.9","3.7"
