"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2018","01000","Alabama","220,754","4,609","45,620","4,076","20.7","1.8","175,134","5,298","79.3","1.8"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2017","01000","Alabama","222,739","4,432","40,623","3,761","18.2","1.6","182,116","5,105","81.8","1.6"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2016","01000","Alabama","225,080","4,169","42,970","3,873","19.1","1.7","182,110","4,979","80.9","1.7"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2015","01000","Alabama","235,035","3,857","53,697","4,228","22.8","1.8","181,338","5,077","77.2","1.8"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2014","01000","Alabama","242,565","3,725","64,377","4,448","26.5","1.8","178,188","5,074","73.5","1.8"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2013","01000","Alabama","243,531","3,727","75,702","4,906","31.1","1.9","167,829","5,336","68.9","1.9"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2012","01000","Alabama","243,193","3,801","73,807","4,365","30.3","1.7","169,386","4,967","69.7","1.7"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2011","01000","Alabama","245,808","3,986","76,378","4,583","31.1","1.8","169,430","5,179","68.9","1.8"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2010","01000","Alabama","241,402","4,315","76,772","4,677","31.8","1.8","164,630","5,321","68.2","1.8"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2009","01000","Alabama","226,248","5,367","71,856","5,021","31.8","2.1","154,393","5,877","68.2","2.1"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2008","01000","Alabama","214,384","5,085","60,500","4,290","28.2","1.9","153,884","5,422","71.8","1.9"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2007","01000","Alabama","207,113","10,192","64,630","8,920","31.2","4.0","142,484","10,653","68.8","4.0"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2006","01000","Alabama","210,790","10,911","67,155","8,985","31.9","3.9","143,635","11,011","68.1","3.9"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2018","02000","Alaska","2,624","191","614","146","23.4","5.2","2,010","198","76.6","5.2"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2017","02000","Alaska","2,585","186","602","136","23.3","4.9","1,983","191","76.7","4.9"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2016","02000","Alaska","2,534","186","609","131","24.0","4.8","1,925","186","76.0","4.8"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2015","02000","Alaska","2,709","197","763","149","28.2","5.0","1,946","195","71.8","5.0"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2014","02000","Alaska","2,908","217","1,006","178","34.6","5.5","1,902","211","65.4","5.5"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2013","02000","Alaska","3,068","219","1,134","184","37.0","5.3","1,934","213","63.0","5.3"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2012","02000","Alaska","3,002","217","1,132","184","37.7","5.5","1,870","212","62.3","5.5"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2011","02000","Alaska","2,827","194","1,083","164","38.3","5.2","1,744","189","61.7","5.2"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2010","02000","Alaska","2,617","182","1,001","170","38.3","5.9","1,615","189","61.7","5.9"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2009","02000","Alaska","2,906","219","1,149","205","39.5","6.4","1,757","227","60.5","6.4"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2008","02000","Alaska","2,823","210","1,007","199","35.7","6.5","1,816","226","64.3","6.5"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2007","02000","Alaska","2,706","242","976","179","36.1","5.7","1,730","216","63.9","5.7"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2006","02000","Alaska","2,765","333","1,029","205","37.2","6.1","1,735","275","62.8","6.1"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2018","04000","Arizona","39,424","1,758","6,530","1,132","16.6","2.8","32,894","1,813","83.4","2.8"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2017","04000","Arizona","39,574","1,638","5,673","991","14.3","2.4","33,901","1,696","85.7","2.4"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2016","04000","Arizona","38,860","1,563","5,420","923","13.9","2.3","33,440","1,609","86.1","2.3"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2015","04000","Arizona","39,597","1,512","6,119","972","15.5","2.4","33,478","1,583","84.5","2.4"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2014","04000","Arizona","39,145","1,453","7,450","1,089","19.0","2.7","31,695","1,567","81.0","2.7"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2013","04000","Arizona","37,303","1,421","9,638","1,235","25.8","3.2","27,665","1,573","74.2","3.2"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2012","04000","Arizona","36,132","1,376","9,873","1,209","27.3","3.2","26,259","1,517","72.7","3.2"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2011","04000","Arizona","34,825","1,429","10,388","1,349","29.8","3.7","24,437","1,612","70.2","3.7"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2010","04000","Arizona","33,184","1,507","8,461","1,190","25.5","3.4","24,723","1,582","74.5","3.4"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2009","04000","Arizona","32,328","1,846","8,459","1,271","26.2","3.6","23,868","1,802","73.8","3.6"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2008","04000","Arizona","26,879","1,614","6,313","986","23.5","3.4","20,566","1,533","76.5","3.4"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2007","04000","Arizona","29,790","2,092","9,962","1,658","33.4","5.0","19,827","2,024","66.6","5.0"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2006","04000","Arizona","24,311","2,680","8,726","1,720","35.9","5.7","15,585","2,187","64.1","5.7"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2018","05000","Arkansas","81,182","2,276","10,556","1,629","13.0","2.0","70,626","2,540","87.0","2.0"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2017","05000","Arkansas","79,887","2,158","9,787","1,477","12.3","1.8","70,100","2,379","87.7","1.8"
"18 to 64 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2016","05000","Arkansas","81,307","2,093","10,309","1,533","12.7","1.9","70,998","2,348","87.3","1.9"
