"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2018","01000","Alabama","321,919","5,435","48,826","4,228","15.2","1.3","273,093","6,060","84.8","1.3"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2017","01000","Alabama","326,092","5,324","43,319","3,866","13.3","1.2","282,773","5,902","86.7","1.2"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2016","01000","Alabama","331,675","5,013","45,231","3,956","13.6","1.2","286,444","5,705","86.4","1.2"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2015","01000","Alabama","345,727","4,640","56,931","4,330","16.5","1.2","288,796","5,730","83.5","1.2"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2014","01000","Alabama","357,283","4,475","67,616","4,536","18.9","1.2","289,667","5,672","81.1","1.2"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2013","01000","Alabama","359,215","4,438","80,733","5,088","22.5","1.4","278,482","5,938","77.5","1.4"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2012","01000","Alabama","362,288","4,325","78,800","4,554","21.8","1.2","283,488","5,469","78.2","1.2"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2011","01000","Alabama","364,169","4,562","82,221","4,775","22.6","1.3","281,947","5,730","77.4","1.3"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2010","01000","Alabama","361,186","5,010","84,239","4,976","23.3","1.3","276,947","6,038","76.7","1.3"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2009","01000","Alabama","338,615","6,380","79,009","5,265","23.3","1.5","259,606","6,868","76.7","1.5"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2008","01000","Alabama","322,625","6,102","69,072","4,687","21.4","1.4","253,553","6,531","78.6","1.4"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2007","01000","Alabama","322,942","11,758","78,225","10,268","24.2","3.0","244,717","12,685","75.8","3.0"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2006","01000","Alabama","327,767","13,384","80,886","10,172","24.7","2.9","246,881","13,747","75.3","2.9"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2018","02000","Alaska","4,205","238","722","154","17.2","3.5","3,483","243","82.8","3.5"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2017","02000","Alaska","4,161","235","727","147","17.5","3.4","3,434","238","82.5","3.4"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2016","02000","Alaska","4,103","239","727","141","17.7","3.3","3,376","237","82.3","3.3"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2015","02000","Alaska","4,313","246","875","157","20.3","3.4","3,438","241","79.7","3.4"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2014","02000","Alaska","4,591","263","1,154","186","25.1","3.7","3,437","256","74.9","3.7"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2013","02000","Alaska","4,805","264","1,299","193","27.0","3.7","3,506","258","73.0","3.7"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2012","02000","Alaska","4,671","257","1,310","194","28.0","3.8","3,362","253","72.0","3.8"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2011","02000","Alaska","4,680","246","1,258","175","26.9","3.4","3,423","240","73.1","3.4"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2010","02000","Alaska","4,174","223","1,160","180","27.8","4.0","3,014","230","72.2","4.0"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2009","02000","Alaska","5,232","292","1,463","232","28.0","4.1","3,770","300","72.0","4.1"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2008","02000","Alaska","4,966","274","1,337","234","26.9","4.4","3,629","294","73.1","4.4"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2007","02000","Alaska","5,103","332","1,344","227","26.3","4.0","3,759","313","73.7","4.0"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2006","02000","Alaska","5,120","434","1,421","252","27.7","4.3","3,700","385","72.3","4.3"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2018","04000","Arizona","60,564","2,175","7,763","1,232","12.8","2.0","52,801","2,224","87.2","2.0"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2017","04000","Arizona","60,545","2,073","7,007","1,119","11.6","1.8","53,538","2,130","88.4","1.8"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2016","04000","Arizona","59,912","1,972","6,518","1,018","10.9","1.7","53,394","2,019","89.1","1.7"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2015","04000","Arizona","60,689","1,898","7,332","1,069","12.1","1.7","53,357","1,967","87.9","1.7"
"Under 65 years","<= 200% of Poverty","Black alone, Not Hispanic","Female Only","2014","04000","Arizona","60,622","1,821","8,915","1,187","14.7","1.9","51,707","1,936","85.3","1.9"
