"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2018","01000","Alabama","9,863","0","2,249","485","22.8","4.9","7,614","485","77.2","4.9"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2017","01000","Alabama","9,115","0","1,890","431","20.7","4.7","7,225","431","79.3","4.7"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2016","01000","Alabama","8,592","0","2,135","451","24.8","5.2","6,457","451","75.2","5.2"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2015","01000","Alabama","8,145","0","1,875","390","23.0","4.8","6,270","390","77.0","4.8"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2014","01000","Alabama","7,650","0","2,177","376","28.5","4.9","5,473","376","71.5","4.9"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2013","01000","Alabama","7,079","0","2,243","367","31.7","5.2","4,836","367","68.3","5.2"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2012","01000","Alabama","6,697","0","2,166","343","32.3","5.1","4,531","343","67.7","5.1"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2011","01000","Alabama","6,353","0","1,997","324","31.4","5.1","4,356","324","68.6","5.1"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2010","01000","Alabama","5,788","0","1,763","313","30.5","5.4","4,025","313","69.5","5.4"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2009","01000","Alabama","5,385","0","1,651","325","30.6","6.0","3,735","325","69.4","6.0"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2008","01000","Alabama","4,890","0","1,413","275","28.9","5.6","3,477","275","71.1","5.6"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2007","01000","Alabama","4,848","0","1,255","207","25.9","4.3","3,593","210","74.1","4.3"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2006","01000","Alabama","4,488","0","1,167","230","26.0","5.1","3,321","232","74.0","5.2"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2018","02000","Alaska","2,993","0","712","156","23.8","5.2","2,281","156","76.2","5.2"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2017","02000","Alaska","2,926","0","654","159","22.4","5.4","2,272","159","77.6","5.4"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2016","02000","Alaska","2,787","0","677","159","24.3","5.7","2,110","159","75.7","5.7"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2015","02000","Alaska","2,735","0","705","152","25.8","5.6","2,030","152","74.2","5.6"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2014","02000","Alaska","2,644","0","859","160","32.5","6.1","1,785","160","67.5","6.1"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2013","02000","Alaska","2,552","0","876","144","34.3","5.6","1,676","144","65.7","5.6"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2012","02000","Alaska","2,496","0","901","155","36.1","6.2","1,595","155","63.9","6.2"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2011","02000","Alaska","2,263","0","797","122","35.2","5.4","1,466","122","64.8","5.4"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2010","02000","Alaska","2,036","0","658","120","32.3","5.9","1,378","120","67.7","5.9"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2009","02000","Alaska","2,111","0","634","124","30.0","5.9","1,477","124","70.0","5.9"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2008","02000","Alaska","1,946","0","624","132","32.1","6.8","1,322","132","67.9","6.8"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2007","02000","Alaska","1,938","0","605","84","31.2","4.3","1,333","84","68.8","4.3"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2006","02000","Alaska","1,791","0","553","94","30.9","5.2","1,238","95","69.1","5.3"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2018","04000","Arizona","150,801","0","24,872","2,891","16.5","1.9","125,929","2,891","83.5","1.9"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2017","04000","Arizona","143,860","0","23,358","2,688","16.2","1.9","120,502","2,688","83.8","1.9"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2016","04000","Arizona","138,422","0","22,060","2,634","15.9","1.9","116,362","2,634","84.1","1.9"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2015","04000","Arizona","133,302","0","23,236","2,649","17.4","2.0","110,066","2,649","82.6","2.0"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2014","04000","Arizona","127,844","0","27,093","2,726","21.2","2.1","100,751","2,726","78.8","2.1"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2013","04000","Arizona","120,456","0","34,895","2,984","29.0","2.5","85,561","2,984","71.0","2.5"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2012","04000","Arizona","115,683","0","33,716","2,699","29.1","2.3","81,967","2,699","70.9","2.3"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2011","04000","Arizona","111,193","0","29,785","2,895","26.8","2.6","81,408","2,895","73.2","2.6"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2010","04000","Arizona","104,925","0","28,578","2,700","27.2","2.6","76,347","2,700","72.8","2.6"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2009","04000","Arizona","99,379","0","28,339","2,698","28.5","2.7","71,039","2,698","71.5","2.7"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2008","04000","Arizona","94,145","0","25,594","2,536","27.2","2.7","68,551","2,536","72.8","2.7"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2007","04000","Arizona","93,377","0","27,261","3,386","29.2","3.6","66,116","3,421","70.8","3.7"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2006","04000","Arizona","86,933","0","26,709","3,817","30.7","4.4","60,224","3,871","69.3","4.5"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2018","05000","Arkansas","11,365","0","1,945","454","17.1","4.0","9,420","454","82.9","4.0"
"50 to 64 years","All Incomes","Hispanic (any race)","Female Only","2017","05000","Arkansas","10,618","0","2,338","517","22.0","4.9","8,280","517","78.0","4.9"
