"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"Under 65 years","All Incomes","Hispanic (any race)","Female Only","2018","01000","Alabama","95,010","0","22,797","1,883","24.0","2.0","72,213","1,883","76.0","2.0"
"Under 65 years","All Incomes","Hispanic (any race)","Female Only","2017","01000","Alabama","91,986","0","19,973","1,771","21.7","1.9","72,013","1,771","78.3","1.9"
"Under 65 years","All Incomes","Hispanic (any race)","Female Only","2016","01000","Alabama","88,796","0","21,292","1,816","24.0","2.0","67,504","1,816","76.0","2.0"
"Under 65 years","All Incomes","Hispanic (any race)","Female Only","2015","01000","Alabama","88,195","0","21,476","1,822","24.4","2.1","66,719","1,822","75.6","2.1"
"Under 65 years","All Incomes","Hispanic (any race)","Female Only","2014","01000","Alabama","86,899","0","23,985","1,772","27.6","2.0","62,914","1,772","72.4","2.0"
"Under 65 years","All Incomes","Hispanic (any race)","Female Only","2013","01000","Alabama","84,750","0","25,822","1,785","30.5","2.1","58,928","1,785","69.5","2.1"
"Under 65 years","All Incomes","Hispanic (any race)","Female Only","2012","01000","Alabama","83,467","0","26,483","1,791","31.7","2.1","56,984","1,791","68.3","2.1"
"Under 65 years","All Incomes","Hispanic (any race)","Female Only","2011","01000","Alabama","82,130","0","27,845","1,983","33.9","2.4","54,285","1,983","66.1","2.4"
"Under 65 years","All Incomes","Hispanic (any race)","Female Only","2010","01000","Alabama","78,403","0","28,670","1,892","36.6","2.4","49,732","1,892","63.4","2.4"
"Under 65 years","All Incomes","Hispanic (any race)","Female Only","2009","01000","Alabama","65,046","0","20,322","1,565","31.2","2.4","44,724","1,565","68.8","2.4"
"Under 65 years","All Incomes","Hispanic (any race)","Female Only","2008","01000","Alabama","57,182","0","17,926","1,520","31.3","2.7","39,256","1,520","68.7","2.7"
"Under 65 years","All Incomes","Hispanic (any race)","Female Only","2007","01000","Alabama","56,897","0","15,369","1,708","27.0","3.0","41,527","1,739","73.0","3.1"
"Under 65 years","All Incomes","Hispanic (any race)","Female Only","2006","01000","Alabama","52,636","0","15,386","1,827","29.2","3.5","37,250","1,863","70.8","3.5"
"Under 65 years","All Incomes","Hispanic (any race)","Female Only","2018","02000","Alaska","23,465","0","5,094","610","21.7","2.6","18,371","610","78.3","2.6"
"Under 65 years","All Incomes","Hispanic (any race)","Female Only","2017","02000","Alaska","23,018","0","4,991","587","21.7","2.6","18,027","587","78.3","2.6"
"Under 65 years","All Incomes","Hispanic (any race)","Female Only","2016","02000","Alaska","22,686","0","5,378","596","23.7","2.6","17,308","596","76.3","2.6"
