"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2018","01000","Alabama","43,554","1,865","13,201","1,405","30.3","3.0","30,353","1,873","69.7","3.0"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2017","01000","Alabama","42,647","1,786","11,690","1,303","27.4","2.9","30,957","1,825","72.6","2.9"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2016","01000","Alabama","42,147","1,697","12,365","1,320","29.3","2.9","29,782","1,761","70.7","2.9"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2015","01000","Alabama","43,963","1,637","13,037","1,358","29.7","2.9","30,926","1,730","70.3","2.9"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2014","01000","Alabama","44,807","1,616","15,418","1,390","34.4","2.8","29,389","1,660","65.6","2.8"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2013","01000","Alabama","43,857","1,617","15,875","1,366","36.2","2.8","27,982","1,616","63.8","2.8"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2012","01000","Alabama","44,023","1,554","16,760","1,425","38.1","2.9","27,263","1,619","61.9","2.9"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2011","01000","Alabama","43,006","1,645","18,037","1,608","41.9","3.4","24,969","1,767","58.1","3.4"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2010","01000","Alabama","40,677","1,814","18,367","1,627","45.2","3.4","22,310","1,653","54.8","3.4"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2009","01000","Alabama","33,648","1,763","12,868","1,302","38.2","3.5","20,780","1,665","61.8","3.5"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2008","01000","Alabama","26,954","1,559","10,206","1,172","37.9","3.9","16,748","1,473","62.1","3.9"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2018","02000","Alaska","6,127","529","1,727","320","28.2","4.7","4,400","483","71.8","4.7"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2017","02000","Alaska","6,141","504","1,821","314","29.7","4.6","4,320","457","70.3","4.6"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2016","02000","Alaska","6,359","529","2,057","331","32.3","4.5","4,302","466","67.7","4.5"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2015","02000","Alaska","6,375","539","2,085","328","32.7","4.5","4,290","476","67.3","4.5"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2014","02000","Alaska","6,849","558","2,668","380","39.0","4.5","4,181","461","61.0","4.5"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2013","02000","Alaska","6,749","555","2,827","372","41.9","4.4","3,922","448","58.1","4.4"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2012","02000","Alaska","6,514","499","2,665","356","40.9","4.5","3,849","419","59.1","4.5"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2011","02000","Alaska","6,114","477","2,698","341","44.1","4.6","3,417","395","55.9","4.6"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2010","02000","Alaska","6,179","487","2,497","354","40.4","4.9","3,682","425","59.6","4.9"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2009","02000","Alaska","6,677","565","2,910","433","43.6","5.5","3,767","495","56.4","5.5"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2008","02000","Alaska","5,705","505","2,701","405","47.3","5.9","3,004","435","52.7","5.9"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2018","04000","Arizona","348,545","8,136","76,767","5,755","22.0","1.5","271,778","8,128","78.0","1.5"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2017","04000","Arizona","356,084","7,889","73,144","5,510","20.5","1.5","282,940","8,027","79.5","1.5"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2016","04000","Arizona","375,289","7,436","77,978","5,544","20.8","1.4","297,311","7,740","79.2","1.4"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2015","04000","Arizona","392,757","6,766","90,881","5,975","23.1","1.5","301,876","7,549","76.9","1.5"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2014","04000","Arizona","398,728","6,622","111,145","6,416","27.9","1.5","287,583","7,599","72.1","1.5"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2013","04000","Arizona","399,414","6,611","135,051","6,910","33.8","1.6","264,363","7,669","66.2","1.6"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2012","04000","Arizona","395,421","6,441","137,488","6,637","34.8","1.6","257,934","7,350","65.2","1.6"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2011","04000","Arizona","389,002","7,348","133,132","7,376","34.2","1.8","255,870","8,276","65.8","1.8"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2010","04000","Arizona","371,603","7,471","125,708","6,822","33.8","1.7","245,896","7,924","66.2","1.7"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2009","04000","Arizona","371,922","12,148","124,170","7,868","33.4","1.8","247,752","10,802","66.6","1.8"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2008","04000","Arizona","344,665","10,616","138,151","7,896","40.1","2.0","206,514","9,429","59.9","2.0"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2018","05000","Arkansas","42,875","1,883","11,159","1,433","26.0","3.1","31,716","1,924","74.0","3.1"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2017","05000","Arkansas","43,148","1,833","10,543","1,333","24.4","2.9","32,605","1,880","75.6","2.9"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2016","05000","Arkansas","44,167","1,788","12,100","1,396","27.4","3.0","32,067","1,843","72.6","3.0"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2015","05000","Arkansas","44,721","1,734","13,420","1,442","30.0","3.0","31,301","1,820","70.0","3.0"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2014","05000","Arkansas","46,255","1,679","15,200","1,476","32.9","3.0","31,055","1,782","67.1","3.0"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2013","05000","Arkansas","45,611","1,655","16,443","1,459","36.1","2.9","29,168","1,711","63.9","2.9"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2012","05000","Arkansas","45,795","1,588","16,754","1,476","36.6","3.0","29,041","1,705","63.4","3.0"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2011","05000","Arkansas","45,687","1,653","18,068","1,552","39.5","3.1","27,620","1,749","60.5","3.1"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2010","05000","Arkansas","42,782","1,803","18,518","1,559","43.3","3.2","24,263","1,695","56.7","3.2"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2009","05000","Arkansas","40,175","1,984","15,619","1,563","38.9","3.5","24,556","1,891","61.1","3.5"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2008","05000","Arkansas","34,074","1,802","12,833","1,315","37.7","3.4","21,241","1,639","62.3","3.4"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2018","06000","California","2,015,032","24,159","270,458","12,394","13.4","0.6","1,744,574","23,846","86.6","0.6"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2017","06000","California","2,133,963","25,244","294,978","12,923","13.8","0.6","1,838,985","24,853","86.2","0.6"
"Under 65 years","<= 138% of Poverty","Hispanic (any race)","Female Only","2016","06000","California","2,283,545","22,806","331,023","13,476","14.5","0.6","1,952,522","23,212","85.5","0.6"
