"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2018","01000","Alabama","3,626","384","1,237","343","34.1","8.7","2,389","404","65.9","8.7"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2017","01000","Alabama","3,551","360","1,173","312","33.0","8.0","2,378","371","67.0","8.0"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2016","01000","Alabama","3,466","338","1,371","330","39.6","8.6","2,095","360","60.4","8.6"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2015","01000","Alabama","3,192","317","1,214","297","38.0","8.5","1,978","333","62.0","8.5"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2014","01000","Alabama","3,429","305","1,492","291","43.5","7.5","1,937","308","56.5","7.5"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2013","01000","Alabama","3,130","296","1,479","278","47.3","7.6","1,651","283","52.7","7.6"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2012","01000","Alabama","2,960","278","1,436","260","48.5","7.4","1,524","262","51.5","7.4"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2011","01000","Alabama","2,956","275","1,396","264","47.2","7.6","1,561","266","52.8","7.6"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2010","01000","Alabama","2,606","259","1,233","247","47.3","8.1","1,373","250","52.7","8.1"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2009","01000","Alabama","2,354","245","1,151","236","48.9","8.5","1,203","235","51.1","8.5"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2008","01000","Alabama","2,102","219","902","199","42.9","8.3","1,200","214","57.1","8.3"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2007","01000","Alabama","2,142","252","840","198","39.2","8.0","1,302","231","60.8","8.0"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2006","01000","Alabama","1,796","372","713","218","39.7","9.3","1,083","287","60.3","9.3"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2018","02000","Alaska","899","122","331","97","36.8","9.5","568","115","63.2","9.5"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2017","02000","Alaska","843","120","307","88","36.4","9.0","536","108","63.6","9.0"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2016","02000","Alaska","800","112","319","87","39.9","9.3","481","100","60.1","9.3"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2015","02000","Alaska","802","114","348","89","43.4","9.0","454","96","56.6","9.0"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2014","02000","Alaska","842","117","428","93","50.8","8.4","414","92","49.2","8.4"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2013","02000","Alaska","861","115","474","94","55.1","7.9","387","85","44.9","7.9"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2012","02000","Alaska","797","112","443","91","55.6","8.3","353","82","44.4","8.3"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2011","02000","Alaska","730","97","427","80","58.5","7.7","303","69","41.5","7.7"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2010","02000","Alaska","683","90","362","77","53.1","8.8","321","73","46.9","8.8"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2009","02000","Alaska","664","91","360","78","54.1","8.9","305","72","45.9","8.9"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2008","02000","Alaska","565","81","316","71","56.0","9.6","248","65","44.0","9.6"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2007","02000","Alaska","640","93","301","68","47.1","8.2","339","72","52.9","8.2"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2006","02000","Alaska","626","143","292","85","46.6","9.2","334","100","53.4","9.2"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2018","04000","Arizona","58,392","2,538","13,495","2,117","23.1","3.5","44,897","2,796","76.9","3.5"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2017","04000","Arizona","57,129","2,315","13,123","1,947","23.0","3.3","44,006","2,569","77.0","3.3"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2016","04000","Arizona","56,794","2,158","13,013","1,948","22.9","3.3","43,781","2,509","77.1","3.3"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2015","04000","Arizona","57,395","2,011","14,300","2,028","24.9","3.4","43,095","2,460","75.1","3.4"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2014","04000","Arizona","56,870","1,877","17,152","2,101","30.2","3.6","39,718","2,407","69.8","3.6"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2013","04000","Arizona","54,940","1,853","23,264","2,361","42.3","4.0","31,676","2,459","57.7","4.0"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2012","04000","Arizona","52,354","1,822","22,453","2,091","42.9","3.7","29,900","2,205","57.1","3.7"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2011","04000","Arizona","48,890","1,983","18,636","2,158","38.1","4.1","30,254","2,359","61.9","4.1"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2010","04000","Arizona","45,897","1,893","17,726","1,999","38.6","4.0","28,171","2,183","61.4","4.0"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2009","04000","Arizona","40,640","2,358","16,699","2,024","41.1","4.3","23,941","2,237","58.9","4.3"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2008","04000","Arizona","35,922","2,204","15,864","1,920","44.2","4.5","20,058","2,026","55.8","4.5"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2007","04000","Arizona","39,519","3,668","16,888","3,105","42.7","6.7","22,631","3,344","57.3","6.7"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2006","04000","Arizona","36,649","4,049","16,756","3,394","45.7","7.8","19,892","3,605","54.3","7.8"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2018","05000","Arkansas","4,745","433","1,136","337","23.9","6.7","3,609","455","76.1","6.7"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2017","05000","Arkansas","4,542","396","1,452","367","32.0","7.5","3,090","430","68.0","7.5"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2016","05000","Arkansas","4,252","375","1,052","289","24.7","6.4","3,200","389","75.3","6.4"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2015","05000","Arkansas","4,156","365","1,274","316","30.7","7.1","2,882","386","69.3","7.1"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2014","05000","Arkansas","3,972","345","1,569","331","39.5","7.5","2,403","362","60.5","7.5"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2013","05000","Arkansas","3,794","334","1,868","329","49.2","7.5","1,926","329","50.8","7.5"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2012","05000","Arkansas","3,568","298","1,708","301","47.9","7.4","1,860","305","52.1","7.4"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2011","05000","Arkansas","3,624","291","1,855","313","51.2","7.5","1,769","304","48.8","7.5"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2010","05000","Arkansas","3,270","268","1,685","292","51.5","7.8","1,585","284","48.5","7.8"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2009","05000","Arkansas","2,967","285","1,484","283","50.0","8.1","1,483","277","50.0","8.1"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2008","05000","Arkansas","2,623","258","1,266","256","48.3","8.4","1,357","258","51.7","8.4"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2007","05000","Arkansas","2,813","281","1,309","263","46.5","8.1","1,505","272","53.5","8.1"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2006","05000","Arkansas","2,146","394","1,006","268","46.9","9.5","1,140","301","53.1","9.5"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2018","06000","California","385,277","8,471","65,086","5,517","16.9","1.4","320,191","8,822","83.1","1.4"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2017","06000","California","395,662","8,029","69,414","5,641","17.5","1.4","326,248","8,574","82.5","1.4"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2016","06000","California","402,090","7,187","73,371","5,695","18.2","1.4","328,719","8,080","81.8","1.4"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2015","06000","California","410,790","6,382","85,521","6,026","20.8","1.4","325,269","7,672","79.2","1.4"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2014","06000","California","412,108","5,907","132,104","6,877","32.1","1.6","280,004","7,687","67.9","1.6"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2013","06000","California","389,180","5,701","171,898","7,635","44.2","1.8","217,282","7,823","55.8","1.8"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2012","06000","California","376,439","5,960","174,489","6,919","46.4","1.7","201,950","7,144","53.6","1.7"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2011","06000","California","358,312","6,845","165,716","7,311","46.2","1.8","192,596","7,539","53.8","1.8"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2010","06000","California","329,731","6,270","159,715","6,893","48.4","1.9","170,016","6,978","51.6","1.9"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2009","06000","California","281,820","7,233","127,473","6,649","45.2","2.1","154,347","6,995","54.8","2.1"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2008","06000","California","258,319","6,443","116,899","6,089","45.3","2.1","141,420","6,371","54.7","2.1"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2007","06000","California","263,318","15,240","115,467","13,380","43.9","4.4","147,852","14,202","56.1","4.4"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2006","06000","California","262,369","18,063","125,038","13,702","47.7","4.1","137,331","14,357","52.3","4.1"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2018","08000","Colorado","25,239","1,518","4,882","1,067","19.3","4.1","20,357","1,592","80.7","4.1"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2017","08000","Colorado","25,213","1,443","5,479","1,107","21.7","4.2","19,734","1,549","78.3","4.2"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2016","08000","Colorado","25,308","1,351","5,633","1,092","22.3","4.1","19,675","1,479","77.7","4.1"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2015","08000","Colorado","25,672","1,300","5,696","1,111","22.2","4.2","19,976","1,480","77.8","4.2"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2014","08000","Colorado","25,898","1,240","7,177","1,162","27.7","4.3","18,721","1,421","72.3","4.3"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2013","08000","Colorado","26,068","1,240","9,669","1,318","37.1","4.7","16,399","1,464","62.9","4.7"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2012","08000","Colorado","24,950","1,241","9,662","1,249","38.7","4.6","15,289","1,378","61.3","4.6"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2011","08000","Colorado","23,876","1,314","9,535","1,300","39.9","4.9","14,341","1,412","60.1","4.9"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2010","08000","Colorado","22,374","1,299","8,968","1,254","40.1","5.1","13,405","1,386","59.9","5.1"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2009","08000","Colorado","18,903","1,350","7,616","1,117","40.3","5.2","11,287","1,265","59.7","5.2"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2008","08000","Colorado","17,470","1,303","6,425","1,021","36.8","5.1","11,045","1,212","63.2","5.1"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2007","08000","Colorado","16,508","1,929","7,559","1,493","45.8","7.3","8,949","1,587","54.2","7.3"
"50 to 64 years","<= 200% of Poverty","Hispanic (any race)","Female Only","2006","08000","Colorado","17,149","2,270","7,260","1,619","42.3","7.7","9,889","1,889","57.7","7.7"
