"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2018","01000","Alabama","345,984","0","29,597","2,881","8.6","0.8","316,387","2,881","91.4","0.8"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2017","01000","Alabama","348,402","0","30,412","2,936","8.7","0.8","317,990","2,936","91.3","0.8"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2016","01000","Alabama","351,279","0","27,591","2,781","7.9","0.8","323,688","2,781","92.1","0.8"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2015","01000","Alabama","352,735","0","29,832","2,842","8.5","0.8","322,903","2,842","91.5","0.8"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2014","01000","Alabama","352,439","0","33,102","2,886","9.4","0.8","319,337","2,886","90.6","0.8"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2013","01000","Alabama","352,356","0","39,616","3,237","11.2","0.9","312,740","3,237","88.8","0.9"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2012","01000","Alabama","351,365","0","39,190","3,012","11.2","0.9","312,175","3,012","88.8","0.9"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2011","01000","Alabama","352,712","0","40,498","3,261","11.5","0.9","312,214","3,261","88.5","0.9"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2010","01000","Alabama","347,303","0","38,905","3,206","11.2","0.9","308,398","3,206","88.8","0.9"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2009","01000","Alabama","332,428","0","30,663","2,803","9.2","0.8","301,765","2,803","90.8","0.8"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2008","01000","Alabama","330,136","0","28,306","2,711","8.6","0.8","301,829","2,711","91.4","0.8"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2007","01000","Alabama","328,456","0","30,573","5,113","9.3","1.6","297,883","5,324","90.7","1.6"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2006","01000","Alabama","322,625","0","32,194","5,444","10.0","1.7","290,431","5,856","90.0","1.8"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2018","02000","Alaska","45,717","0","4,075","719","8.9","1.6","41,642","719","91.1","1.6"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2017","02000","Alaska","47,112","0","3,097","598","6.6","1.3","44,015","598","93.4","1.3"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2016","02000","Alaska","48,274","0","4,108","776","8.5","1.6","44,166","776","91.5","1.6"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2015","02000","Alaska","48,441","0","5,156","835","10.6","1.7","43,285","835","89.4","1.7"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2014","02000","Alaska","49,255","0","6,037","877","12.3","1.8","43,218","877","87.7","1.8"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2013","02000","Alaska","49,890","0","6,702","913","13.4","1.8","43,188","913","86.6","1.8"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2012","02000","Alaska","50,794","0","8,473","1,049","16.7","2.1","42,320","1,049","83.3","2.1"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2011","02000","Alaska","50,810","0","7,459","1,025","14.7","2.0","43,351","1,025","85.3","2.0"
"50 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2010","02000","Alaska","49,491","0","6,592","1,005","13.3","2.0","42,898","1,005","86.7","2.0"
