"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"Under 65 years","All Incomes","White alone, Not Hispanic","Female Only","2018","01000","Alabama","1,259,645","0","115,783","6,042","9.2","0.5","1,143,862","6,042","90.8","0.5"
"Under 65 years","All Incomes","White alone, Not Hispanic","Female Only","2017","01000","Alabama","1,265,819","0","112,685","5,959","8.9","0.5","1,153,134","5,959","91.1","0.5"
"Under 65 years","All Incomes","White alone, Not Hispanic","Female Only","2016","01000","Alabama","1,273,008","0","109,020","5,914","8.6","0.5","1,163,988","5,914","91.4","0.5"
"Under 65 years","All Incomes","White alone, Not Hispanic","Female Only","2015","01000","Alabama","1,281,968","0","116,044","6,036","9.1","0.5","1,165,924","6,036","90.9","0.5"
"Under 65 years","All Incomes","White alone, Not Hispanic","Female Only","2014","01000","Alabama","1,290,407","0","145,401","6,567","11.3","0.5","1,145,006","6,567","88.7","0.5"
"Under 65 years","All Incomes","White alone, Not Hispanic","Female Only","2013","01000","Alabama","1,298,797","0","164,467","7,160","12.7","0.6","1,134,330","7,160","87.3","0.6"
"Under 65 years","All Incomes","White alone, Not Hispanic","Female Only","2012","01000","Alabama","1,304,215","0","163,798","6,719","12.6","0.5","1,140,417","6,719","87.4","0.5"
"Under 65 years","All Incomes","White alone, Not Hispanic","Female Only","2011","01000","Alabama","1,312,725","0","173,935","7,247","13.2","0.6","1,138,790","7,247","86.8","0.6"
"Under 65 years","All Incomes","White alone, Not Hispanic","Female Only","2010","01000","Alabama","1,315,063","0","170,738","7,028","13.0","0.5","1,144,325","7,028","87.0","0.5"
"Under 65 years","All Incomes","White alone, Not Hispanic","Female Only","2009","01000","Alabama","1,315,658","0","161,563","7,139","12.3","0.5","1,154,095","7,139","87.7","0.5"
"Under 65 years","All Incomes","White alone, Not Hispanic","Female Only","2008","01000","Alabama","1,314,299","0","167,545","7,280","12.7","0.6","1,146,754","7,280","87.3","0.6"
"Under 65 years","All Incomes","White alone, Not Hispanic","Female Only","2007","01000","Alabama","1,328,206","0","144,980","14,291","10.9","1.1","1,183,227","14,558","89.1","1.1"
"Under 65 years","All Incomes","White alone, Not Hispanic","Female Only","2006","01000","Alabama","1,330,239","0","161,191","14,803","12.1","1.1","1,169,048","15,676","87.9","1.2"
"Under 65 years","All Incomes","White alone, Not Hispanic","Female Only","2018","02000","Alaska","175,890","0","17,029","1,584","9.7","0.9","158,861","1,584","90.3","0.9"
"Under 65 years","All Incomes","White alone, Not Hispanic","Female Only","2017","02000","Alaska","179,376","0","15,954","1,585","8.9","0.9","163,422","1,585","91.1","0.9"
"Under 65 years","All Incomes","White alone, Not Hispanic","Female Only","2016","02000","Alaska","183,204","0","17,092","1,654","9.3","0.9","166,112","1,654","90.7","0.9"
"Under 65 years","All Incomes","White alone, Not Hispanic","Female Only","2015","02000","Alaska","183,291","0","20,120","1,751","11.0","1.0","163,171","1,751","89.0","1.0"
"Under 65 years","All Incomes","White alone, Not Hispanic","Female Only","2014","02000","Alaska","185,978","0","25,216","1,956","13.6","1.1","160,762","1,956","86.4","1.1"
"Under 65 years","All Incomes","White alone, Not Hispanic","Female Only","2013","02000","Alaska","188,953","0","28,140","2,077","14.9","1.1","160,813","2,077","85.1","1.1"
"Under 65 years","All Incomes","White alone, Not Hispanic","Female Only","2012","02000","Alaska","191,887","0","30,468","2,093","15.9","1.1","161,420","2,093","84.1","1.1"
