"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2018","01000","Alabama","278,324","6,420","66,609","4,540","23.9","1.5","211,715","6,427","76.1","1.5"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2017","01000","Alabama","280,445","6,313","65,895","4,470","23.5","1.5","214,550","6,305","76.5","1.5"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2016","01000","Alabama","287,969","5,950","65,489","4,525","22.7","1.5","222,480","6,150","77.3","1.5"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2015","01000","Alabama","300,865","5,611","71,772","4,726","23.9","1.5","229,093","6,098","76.1","1.5"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2014","01000","Alabama","314,544","5,511","92,273","5,168","29.3","1.5","222,271","6,177","70.7","1.5"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2013","01000","Alabama","316,122","5,637","101,212","5,486","32.0","1.6","214,910","6,364","68.0","1.6"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2012","01000","Alabama","318,911","5,761","105,805","5,288","33.2","1.5","213,107","6,175","66.8","1.5"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2011","01000","Alabama","320,161","6,413","110,477","5,644","34.5","1.6","209,684","6,597","65.5","1.6"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2010","01000","Alabama","310,457","6,287","106,197","5,439","34.2","1.6","204,260","6,430","65.8","1.6"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2009","01000","Alabama","297,337","7,981","98,919","5,664","33.3","1.7","198,418","7,189","66.7","1.7"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2008","01000","Alabama","273,185","7,235","89,117","5,191","32.6","1.7","184,068","6,535","67.4","1.7"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2007","01000","Alabama","254,284","15,249","73,033","10,830","28.7","3.9","181,251","14,495","71.3","3.9"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2006","01000","Alabama","260,117","14,434","81,767","10,853","31.4","3.7","178,350","13,563","68.6","3.7"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2018","02000","Alaska","23,693","1,332","5,792","837","24.4","3.2","17,901","1,247","75.6","3.2"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2017","02000","Alaska","24,942","1,387","5,025","725","20.1","2.7","19,917","1,298","79.9","2.7"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2016","02000","Alaska","24,551","1,326","5,668","797","23.1","3.0","18,883","1,250","76.9","3.0"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2015","02000","Alaska","25,024","1,284","6,908","857","27.6","3.1","18,116","1,209","72.4","3.1"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2014","02000","Alaska","27,489","1,394","9,271","1,003","33.7","3.2","18,218","1,278","66.3","3.2"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2013","02000","Alaska","28,151","1,453","10,856","1,095","38.6","3.3","17,295","1,287","61.4","3.3"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2012","02000","Alaska","29,347","1,471","11,218","1,092","38.2","3.2","18,130","1,301","61.8","3.2"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2011","02000","Alaska","30,209","1,611","11,458","1,172","37.9","3.3","18,751","1,405","62.1","3.3"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2010","02000","Alaska","29,799","1,666","11,120","1,250","37.3","3.6","18,679","1,482","62.7","3.6"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2009","02000","Alaska","27,458","1,804","11,594","1,329","42.2","3.9","15,865","1,475","57.8","3.9"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2008","02000","Alaska","26,469","1,679","10,146","1,215","38.3","3.8","16,323","1,424","61.7","3.8"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2007","02000","Alaska","25,635","1,986","9,163","1,324","35.7","4.3","16,473","1,656","64.3","4.3"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2006","02000","Alaska","28,614","2,132","10,184","1,415","35.6","4.0","18,430","1,742","64.4","4.0"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2018","04000","Arizona","260,419","6,527","38,883","3,504","14.9","1.3","221,536","6,471","85.1","1.3"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2017","04000","Arizona","268,140","6,478","38,661","3,526","14.4","1.3","229,479","6,482","85.6","1.3"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2016","04000","Arizona","281,276","6,139","36,614","3,353","13.0","1.2","244,662","6,208","87.0","1.2"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2015","04000","Arizona","293,748","5,788","42,908","3,663","14.6","1.2","250,840","6,022","85.4","1.2"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2014","04000","Arizona","302,116","5,654","61,622","4,408","20.4","1.4","240,494","6,144","79.6","1.4"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2013","04000","Arizona","305,654","5,886","88,397","5,349","28.9","1.7","217,257","6,553","71.1","1.7"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2012","04000","Arizona","309,877","6,210","85,916","5,045","27.7","1.5","223,961","6,585","72.3","1.5"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2011","04000","Arizona","305,732","7,251","76,018","5,299","24.9","1.6","229,714","7,435","75.1","1.6"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2010","04000","Arizona","302,991","6,912","82,048","5,234","27.1","1.6","220,943","7,040","72.9","1.6"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2009","04000","Arizona","285,997","9,154","73,636","5,267","25.7","1.6","212,361","8,223","74.3","1.6"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2008","04000","Arizona","257,284","8,111","66,596","4,912","25.9","1.7","190,688","7,380","74.1","1.7"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2007","04000","Arizona","248,233","17,014","75,198","11,233","30.3","4.0","173,034","15,204","69.7","4.0"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2006","04000","Arizona","241,135","15,695","74,060","10,382","30.7","3.8","167,075","14,200","69.3","3.8"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2018","05000","Arkansas","211,708","5,179","29,426","2,801","13.9","1.3","182,282","5,175","86.1","1.3"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2017","05000","Arkansas","212,992","5,168","28,653","2,815","13.5","1.3","184,339","5,187","86.5","1.3"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2016","05000","Arkansas","217,382","4,829","31,730","3,016","14.6","1.3","185,652","4,996","85.4","1.3"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2015","05000","Arkansas","227,879","4,503","37,888","3,236","16.6","1.4","189,991","4,857","83.4","1.4"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2014","05000","Arkansas","235,475","4,435","53,010","3,738","22.5","1.5","182,465","4,901","77.5","1.5"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2013","05000","Arkansas","237,809","4,581","86,917","4,804","36.5","1.9","150,892","5,271","63.5","1.9"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2012","05000","Arkansas","241,771","4,663","93,125","4,644","38.5","1.8","148,646","5,092","61.5","1.8"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2011","05000","Arkansas","245,574","5,164","96,971","4,964","39.5","1.8","148,603","5,410","60.5","1.8"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2010","05000","Arkansas","235,333","5,119","93,475","4,782","39.7","1.8","141,859","5,238","60.3","1.8"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2009","05000","Arkansas","220,929","6,463","90,255","5,153","40.9","2.0","130,675","5,669","59.1","2.0"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2008","05000","Arkansas","223,981","5,986","91,123","4,873","40.7","1.9","132,858","5,376","59.3","1.9"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2007","05000","Arkansas","199,746","11,402","74,628","9,164","37.4","3.9","125,118","10,303","62.6","3.9"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2006","05000","Arkansas","201,029","10,593","77,019","8,822","38.3","3.7","124,010","9,390","61.7","3.7"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2018","06000","California","877,153","13,690","78,612","5,536","9.0","0.6","798,541","13,518","91.0","0.6"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2017","06000","California","907,558","14,081","81,975","5,809","9.0","0.6","825,583","13,968","91.0","0.6"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2016","06000","California","956,338","13,019","89,487","6,084","9.4","0.6","866,851","13,064","90.6","0.6"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2015","06000","California","1,018,291","12,233","105,719","6,603","10.4","0.6","912,572","12,621","89.6","0.6"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2014","06000","California","1,071,645","12,108","193,293","8,841","18.0","0.8","878,352","13,020","82.0","0.8"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2013","06000","California","1,099,168","12,720","293,322","11,254","26.7","1.0","805,846","14,107","73.3","1.0"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2012","06000","California","1,106,066","13,978","314,923","10,982","28.5","0.9","791,143","14,581","71.5","0.9"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2011","06000","California","1,094,439","15,993","317,731","11,868","29.0","1.0","776,708","16,027","71.0","1.0"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2010","06000","California","1,048,391","14,534","292,383","10,792","27.9","1.0","756,008","14,747","72.1","1.0"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2009","06000","California","1,014,937","18,801","274,482","11,431","27.0","1.0","740,455","17,124","73.0","1.0"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2008","06000","California","988,999","17,203","264,047","10,926","26.7","1.0","724,952","15,823","73.3","1.0"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2007","06000","California","899,967","39,519","242,921","25,845","27.0","2.6","657,046","37,313","73.0","2.6"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2006","06000","California","954,563","42,230","261,756","23,643","27.4","2.2","692,807","37,153","72.6","2.2"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2018","08000","Colorado","229,655","6,162","26,760","2,749","11.7","1.2","202,895","6,027","88.3","1.2"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2017","08000","Colorado","240,102","6,255","26,403","2,686","11.0","1.1","213,699","6,134","89.0","1.1"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2016","08000","Colorado","245,099","5,805","24,872","2,588","10.1","1.0","220,227","5,729","89.9","1.0"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2015","08000","Colorado","250,512","5,391","27,644","2,670","11.0","1.0","222,868","5,452","89.0","1.0"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2014","08000","Colorado","262,033","5,402","43,929","3,513","16.8","1.3","218,104","5,610","83.2","1.3"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2013","08000","Colorado","276,767","5,815","75,076","4,779","27.1","1.6","201,691","6,203","72.9","1.6"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2012","08000","Colorado","269,947","5,807","76,632","4,516","28.4","1.6","193,315","5,965","71.6","1.6"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2011","08000","Colorado","270,497","6,548","75,115","4,729","27.8","1.6","195,382","6,496","72.2","1.6"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2010","08000","Colorado","259,585","6,177","78,701","4,726","30.3","1.7","180,885","6,129","69.7","1.7"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2009","08000","Colorado","241,267","8,106","74,403","5,130","30.8","1.8","166,864","7,146","69.2","1.8"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2008","08000","Colorado","227,698","7,290","74,357","4,768","32.7","1.8","153,341","6,352","67.3","1.8"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2007","08000","Colorado","194,342","12,450","65,828","8,727","33.9","3.8","128,514","10,793","66.1","3.8"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2006","08000","Colorado","203,141","12,678","65,167","8,141","32.1","3.4","137,974","10,725","67.9","3.4"
"18 to 64 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2018","09000","Connecticut","103,842","3,715","8,573","1,267","8.3","1.2","95,269","3,624","91.7","1.2"
