"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"Under 65 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2018","01000","Alabama","377,849","7,473","70,489","4,683","18.7","1.2","307,360","7,425","81.3","1.2"
"Under 65 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2017","01000","Alabama","383,846","7,485","69,684","4,581","18.2","1.1","314,162","7,405","81.8","1.1"
"Under 65 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2016","01000","Alabama","393,072","7,001","69,060","4,642","17.6","1.1","324,012","7,098","82.4","1.1"
"Under 65 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2015","01000","Alabama","414,143","6,733","75,831","4,854","18.3","1.1","338,312","7,089","81.7","1.1"
"Under 65 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2014","01000","Alabama","431,382","6,651","97,987","5,324","22.7","1.2","333,395","7,155","77.3","1.2"
"Under 65 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2013","01000","Alabama","435,560","6,728","108,740","5,709","25.0","1.2","326,820","7,282","75.0","1.2"
"Under 65 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2012","01000","Alabama","437,780","6,658","112,153","5,472","25.6","1.2","325,627","7,004","74.4","1.2"
"Under 65 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2011","01000","Alabama","443,018","7,432","118,063","5,831","26.6","1.2","324,955","7,551","73.4","1.2"
"Under 65 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2010","01000","Alabama","430,432","7,420","115,323","5,718","26.8","1.2","315,109","7,512","73.2","1.2"
"Under 65 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2009","01000","Alabama","414,410","9,988","108,698","5,951","26.2","1.3","305,712","9,214","73.8","1.3"
"Under 65 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2008","01000","Alabama","382,873","9,066","100,261","5,631","26.2","1.3","282,612","8,438","73.8","1.3"
"Under 65 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2007","01000","Alabama","361,829","18,140","84,304","11,925","23.3","3.1","277,525","17,556","76.7","3.1"
"Under 65 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2006","01000","Alabama","366,078","17,521","92,007","11,559","25.1","2.9","274,071","16,645","74.9","2.9"
"Under 65 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2018","02000","Alaska","32,875","1,569","6,898","913","21.0","2.5","25,977","1,462","79.0","2.5"
"Under 65 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2017","02000","Alaska","35,074","1,634","5,962","778","17.0","2.1","29,112","1,532","83.0","2.1"
"Under 65 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2016","02000","Alaska","34,414","1,564","6,536","837","19.0","2.3","27,878","1,470","81.0","2.3"
"Under 65 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2015","02000","Alaska","35,386","1,545","8,068","918","22.8","2.4","27,318","1,453","77.2","2.4"
"Under 65 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2014","02000","Alaska","37,839","1,621","10,506","1,050","27.8","2.5","27,333","1,489","72.2","2.5"
"Under 65 years","<= 200% of Poverty","White alone, Not Hispanic","Female Only","2013","02000","Alaska","39,328","1,700","12,316","1,150","31.3","2.6","27,012","1,520","68.7","2.6"
