"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"50 to 64 years","All Incomes","All Races","Female Only","2018","01000","Alabama","503,051","0","49,145","3,667","9.8","0.7","453,906","3,667","90.2","0.7"
"50 to 64 years","All Incomes","All Races","Female Only","2017","01000","Alabama","504,563","0","48,102","3,639","9.5","0.7","456,461","3,639","90.5","0.7"
"50 to 64 years","All Incomes","All Races","Female Only","2016","01000","Alabama","505,992","0","44,884","3,444","8.9","0.7","461,108","3,444","91.1","0.7"
"50 to 64 years","All Incomes","All Races","Female Only","2015","01000","Alabama","507,657","0","49,742","3,564","9.8","0.7","457,915","3,564","90.2","0.7"
"50 to 64 years","All Incomes","All Races","Female Only","2014","01000","Alabama","504,520","0","56,217","3,662","11.1","0.7","448,303","3,662","88.9","0.7"
"50 to 64 years","All Incomes","All Races","Female Only","2013","01000","Alabama","502,013","0","65,012","4,029","13.0","0.8","437,001","4,029","87.0","0.8"
"50 to 64 years","All Incomes","All Races","Female Only","2012","01000","Alabama","497,228","0","63,761","3,695","12.8","0.7","433,467","3,695","87.2","0.7"
"50 to 64 years","All Incomes","All Races","Female Only","2011","01000","Alabama","495,615","0","64,515","3,922","13.0","0.8","431,099","3,922","87.0","0.8"
"50 to 64 years","All Incomes","All Races","Female Only","2010","01000","Alabama","485,455","0","62,776","3,918","12.9","0.8","422,679","3,918","87.1","0.8"
"50 to 64 years","All Incomes","All Races","Female Only","2009","01000","Alabama","460,552","0","52,015","3,505","11.3","0.8","408,537","3,505","88.7","0.8"
"50 to 64 years","All Incomes","All Races","Female Only","2008","01000","Alabama","455,134","0","49,144","3,443","10.8","0.8","405,990","3,443","89.2","0.8"
"50 to 64 years","All Incomes","All Races","Female Only","2007","01000","Alabama","452,205","0","49,864","6,318","11.0","1.4","402,341","6,566","89.0","1.5"
"50 to 64 years","All Incomes","All Races","Female Only","2006","01000","Alabama","440,966","0","51,750","6,623","11.7","1.5","389,216","7,091","88.3","1.6"
"50 to 64 years","All Incomes","All Races","Female Only","2018","02000","Alaska","67,270","0","7,917","917","11.8","1.4","59,353","917","88.2","1.4"
"50 to 64 years","All Incomes","All Races","Female Only","2017","02000","Alaska","68,408","0","7,600","851","11.1","1.2","60,808","851","88.9","1.2"
"50 to 64 years","All Incomes","All Races","Female Only","2016","02000","Alaska","69,350","0","9,327","1,004","13.4","1.4","60,023","1,004","86.6","1.4"
"50 to 64 years","All Incomes","All Races","Female Only","2015","02000","Alaska","68,914","0","10,496","1,043","15.2","1.5","58,418","1,043","84.8","1.5"
"50 to 64 years","All Incomes","All Races","Female Only","2014","02000","Alaska","69,568","0","12,105","1,081","17.4","1.6","57,463","1,081","82.6","1.6"
"50 to 64 years","All Incomes","All Races","Female Only","2013","02000","Alaska","70,044","0","13,255","1,116","18.9","1.6","56,789","1,116","81.1","1.6"
"50 to 64 years","All Incomes","All Races","Female Only","2012","02000","Alaska","71,078","0","14,887","1,226","20.9","1.7","56,190","1,226","79.1","1.7"
"50 to 64 years","All Incomes","All Races","Female Only","2011","02000","Alaska","70,186","0","13,927","1,209","19.8","1.7","56,259","1,209","80.2","1.7"
"50 to 64 years","All Incomes","All Races","Female Only","2010","02000","Alaska","67,917","0","12,811","1,224","18.9","1.8","55,106","1,224","81.1","1.8"
"50 to 64 years","All Incomes","All Races","Female Only","2009","02000","Alaska","64,290","0","9,965","1,068","15.5","1.7","54,325","1,068","84.5","1.7"
"50 to 64 years","All Incomes","All Races","Female Only","2008","02000","Alaska","62,391","0","9,160","1,076","14.7","1.7","53,231","1,076","85.3","1.7"
"50 to 64 years","All Incomes","All Races","Female Only","2007","02000","Alaska","61,672","0","8,886","1,065","14.4","1.7","52,786","1,048","85.6","1.7"
"50 to 64 years","All Incomes","All Races","Female Only","2006","02000","Alaska","59,409","0","8,635","1,037","14.5","1.7","50,774","1,104","85.5","1.9"
"50 to 64 years","All Incomes","All Races","Female Only","2018","04000","Arizona","664,379","0","65,035","4,573","9.8","0.7","599,344","4,573","90.2","0.7"
"50 to 64 years","All Incomes","All Races","Female Only","2017","04000","Arizona","654,553","0","62,422","4,362","9.5","0.7","592,131","4,362","90.5","0.7"
"50 to 64 years","All Incomes","All Races","Female Only","2016","04000","Arizona","650,599","0","59,312","4,256","9.1","0.7","591,287","4,256","90.9","0.7"
"50 to 64 years","All Incomes","All Races","Female Only","2015","04000","Arizona","643,988","0","59,186","4,175","9.2","0.6","584,802","4,175","90.8","0.6"
"50 to 64 years","All Incomes","All Races","Female Only","2014","04000","Arizona","634,738","0","77,905","4,605","12.3","0.7","556,833","4,605","87.7","0.7"
"50 to 64 years","All Incomes","All Races","Female Only","2013","04000","Arizona","624,178","0","105,037","5,381","16.8","0.9","519,141","5,381","83.2","0.9"
"50 to 64 years","All Incomes","All Races","Female Only","2012","04000","Arizona","617,493","0","99,525","4,934","16.1","0.8","517,968","4,934","83.9","0.8"
"50 to 64 years","All Incomes","All Races","Female Only","2011","04000","Arizona","611,700","0","94,263","5,536","15.4","0.9","517,438","5,536","84.6","0.9"
"50 to 64 years","All Incomes","All Races","Female Only","2010","04000","Arizona","596,212","0","87,971","5,016","14.8","0.8","508,241","5,016","85.2","0.8"
"50 to 64 years","All Incomes","All Races","Female Only","2009","04000","Arizona","576,533","0","83,828","4,939","14.5","0.9","492,705","4,939","85.5","0.9"
"50 to 64 years","All Incomes","All Races","Female Only","2008","04000","Arizona","560,230","0","71,242","4,465","12.7","0.8","488,988","4,465","87.3","0.8"
"50 to 64 years","All Incomes","All Races","Female Only","2007","04000","Arizona","556,161","0","79,874","8,149","14.4","1.5","476,287","8,279","85.6","1.5"
"50 to 64 years","All Incomes","All Races","Female Only","2006","04000","Arizona","534,596","0","77,758","8,218","14.5","1.5","456,838","8,486","85.5","1.6"
"50 to 64 years","All Incomes","All Races","Female Only","2018","05000","Arkansas","291,659","0","19,402","2,053","6.7","0.7","272,257","2,053","93.3","0.7"
"50 to 64 years","All Incomes","All Races","Female Only","2017","05000","Arkansas","293,315","0","19,953","2,154","6.8","0.7","273,362","2,154","93.2","0.7"
"50 to 64 years","All Incomes","All Races","Female Only","2016","05000","Arkansas","294,029","0","17,307","1,913","5.9","0.7","276,722","1,913","94.1","0.7"
"50 to 64 years","All Incomes","All Races","Female Only","2015","05000","Arkansas","295,477","0","22,523","2,182","7.6","0.7","272,954","2,182","92.4","0.7"
"50 to 64 years","All Incomes","All Races","Female Only","2014","05000","Arkansas","294,093","0","31,437","2,570","10.7","0.9","262,656","2,570","89.3","0.9"
"50 to 64 years","All Incomes","All Races","Female Only","2013","05000","Arkansas","292,883","0","47,701","3,166","16.3","1.1","245,182","3,166","83.7","1.1"
"50 to 64 years","All Incomes","All Races","Female Only","2012","05000","Arkansas","290,384","0","48,778","3,070","16.8","1.1","241,605","3,070","83.2","1.1"
"50 to 64 years","All Incomes","All Races","Female Only","2011","05000","Arkansas","290,420","0","46,049","3,132","15.9","1.1","244,371","3,132","84.1","1.1"
"50 to 64 years","All Incomes","All Races","Female Only","2010","05000","Arkansas","284,226","0","45,556","3,118","16.0","1.1","238,670","3,118","84.0","1.1"
"50 to 64 years","All Incomes","All Races","Female Only","2009","05000","Arkansas","273,819","0","41,968","2,987","15.3","1.1","231,851","2,987","84.7","1.1"
"50 to 64 years","All Incomes","All Races","Female Only","2008","05000","Arkansas","270,082","0","44,468","3,035","16.5","1.1","225,613","3,035","83.5","1.1"
"50 to 64 years","All Incomes","All Races","Female Only","2007","05000","Arkansas","267,805","0","39,678","4,688","14.8","1.8","228,127","4,760","85.2","1.8"
"50 to 64 years","All Incomes","All Races","Female Only","2006","05000","Arkansas","263,489","0","39,329","4,597","14.9","1.7","224,161","4,738","85.1","1.8"
"50 to 64 years","All Incomes","All Races","Female Only","2018","06000","California","3,711,714","0","252,757","10,330","6.8","0.3","3,458,957","10,330","93.2","0.3"
"50 to 64 years","All Incomes","All Races","Female Only","2017","06000","California","3,727,183","0","254,783","10,416","6.8","0.3","3,472,400","10,416","93.2","0.3"
"50 to 64 years","All Incomes","All Races","Female Only","2016","06000","California","3,713,916","0","253,357","10,213","6.8","0.3","3,460,559","10,213","93.2","0.3"
"50 to 64 years","All Incomes","All Races","Female Only","2015","06000","California","3,705,047","0","278,804","10,432","7.5","0.3","3,426,243","10,432","92.5","0.3"
"50 to 64 years","All Incomes","All Races","Female Only","2014","06000","California","3,663,777","0","436,731","12,340","11.9","0.3","3,227,046","12,340","88.1","0.3"
"50 to 64 years","All Incomes","All Races","Female Only","2013","06000","California","3,591,853","0","640,440","14,878","17.8","0.4","2,951,413","14,878","82.2","0.4"
"50 to 64 years","All Incomes","All Races","Female Only","2012","06000","California","3,547,545","0","648,338","14,390","18.3","0.4","2,899,206","14,390","81.7","0.4"
