"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"Under 65 years","All Incomes","All Races","Female Only","2018","01000","Alabama","2,015,007","0","216,653","8,600","10.8","0.4","1,798,354","8,600","89.2","0.4"
"Under 65 years","All Incomes","All Races","Female Only","2017","01000","Alabama","2,019,888","0","201,074","8,182","10.0","0.4","1,818,814","8,182","90.0","0.4"
"Under 65 years","All Incomes","All Races","Female Only","2016","01000","Alabama","2,023,309","0","199,257","8,056","9.8","0.4","1,824,052","8,056","90.2","0.4"
"Under 65 years","All Incomes","All Races","Female Only","2015","01000","Alabama","2,036,026","0","219,907","8,485","10.8","0.4","1,816,119","8,485","89.2","0.4"
"Under 65 years","All Incomes","All Races","Female Only","2014","01000","Alabama","2,041,878","0","267,023","8,975","13.1","0.4","1,774,855","8,975","86.9","0.4"
"Under 65 years","All Incomes","All Races","Female Only","2013","01000","Alabama","2,044,864","0","306,035","9,845","15.0","0.5","1,738,829","9,845","85.0","0.5"
"Under 65 years","All Incomes","All Races","Female Only","2012","01000","Alabama","2,046,140","0","303,764","9,062","14.8","0.4","1,742,376","9,062","85.2","0.4"
"Under 65 years","All Incomes","All Races","Female Only","2011","01000","Alabama","2,049,029","0","318,566","9,670","15.5","0.5","1,730,463","9,670","84.5","0.5"
"Under 65 years","All Incomes","All Races","Female Only","2010","01000","Alabama","2,043,564","0","319,184","9,555","15.6","0.5","1,724,380","9,555","84.4","0.5"
"Under 65 years","All Incomes","All Races","Female Only","2009","01000","Alabama","2,004,872","0","291,616","9,684","14.5","0.5","1,713,256","9,684","85.5","0.5"
"Under 65 years","All Incomes","All Races","Female Only","2008","01000","Alabama","1,987,520","0","286,214","9,504","14.4","0.5","1,701,307","9,504","85.6","0.5"
"Under 65 years","All Incomes","All Races","Female Only","2007","01000","Alabama","2,018,866","0","273,172","21,332","13.5","1.1","1,745,694","21,790","86.5","1.1"
