"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2018","01000","Alabama","790,422","9,666","141,800","6,755","17.9","0.8","648,622","9,936","82.1","0.8"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2017","01000","Alabama","798,354","9,595","133,196","6,384","16.7","0.8","665,158","9,839","83.3","0.8"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2016","01000","Alabama","811,725","9,022","135,211","6,501","16.7","0.8","676,514","9,475","83.3","0.8"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2015","01000","Alabama","850,303","8,582","155,604","7,012","18.3","0.8","694,699","9,535","81.7","0.8"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2014","01000","Alabama","879,756","8,396","191,797","7,430","21.8","0.8","687,959","9,507","78.2","0.8"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2013","01000","Alabama","884,750","8,394","217,738","8,093","24.6","0.9","667,012","9,734","75.4","0.9"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2012","01000","Alabama","890,700","8,191","220,222","7,538","24.7","0.8","670,478","9,197","75.3","0.8"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2011","01000","Alabama","896,098","8,982","231,346","8,040","25.8","0.8","664,752","9,839","74.2","0.8"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2010","01000","Alabama","877,407","9,228","231,818","8,040","26.4","0.9","645,589","9,942","73.6","0.9"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2009","01000","Alabama","823,209","11,937","210,367","8,296","25.6","0.9","612,842","11,741","74.4","0.9"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2008","01000","Alabama","766,089","10,999","189,219","7,584","24.7","0.9","576,870","10,905","75.3","0.9"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2007","01000","Alabama","741,869","23,119","180,046","18,697","24.3","2.4","561,822","24,678","75.7","2.4"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2006","01000","Alabama","745,679","22,018","189,478","16,562","25.4","2.1","556,201","22,371","74.6","2.1"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2018","02000","Alaska","82,621","2,038","17,326","1,325","21.0","1.5","65,295","1,940","79.0","1.5"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2017","02000","Alaska","84,968","2,067","17,463","1,247","20.6","1.4","67,505","1,947","79.4","1.4"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2016","02000","Alaska","83,056","2,015","19,649","1,312","23.7","1.4","63,407","1,897","76.3","1.4"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2015","02000","Alaska","86,009","1,986","22,044","1,388","25.6","1.5","63,965","1,904","74.4","1.5"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2014","02000","Alaska","89,377","2,039","27,384","1,548","30.6","1.5","61,993","1,916","69.4","1.5"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2013","02000","Alaska","91,276","2,080","30,101","1,606","33.0","1.5","61,175","1,914","67.0","1.5"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2012","02000","Alaska","94,862","2,176","31,921","1,738","33.6","1.6","62,941","1,938","66.4","1.6"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2011","02000","Alaska","95,257","2,335","31,827","1,805","33.4","1.6","63,430","2,042","66.6","1.6"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2010","02000","Alaska","93,851","2,480","31,342","2,005","33.4","1.8","62,509","2,252","66.6","1.8"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2009","02000","Alaska","82,657","2,615","30,257","1,927","36.6","2.0","52,401","2,341","63.4","2.0"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2008","02000","Alaska","80,576","2,454","28,792","1,847","35.7","2.0","51,784","2,252","64.3","2.0"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2007","02000","Alaska","76,438","3,849","24,694","2,981","32.3","3.2","51,744","3,162","67.7","3.2"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2006","02000","Alaska","85,032","3,755","26,971","2,734","31.7","2.7","58,061","3,091","68.3","2.7"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2018","04000","Arizona","1,049,560","12,017","188,967","8,467","18.0","0.8","860,593","12,198","82.0","0.8"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2017","04000","Arizona","1,061,909","11,769","176,383","8,044","16.6","0.7","885,526","11,984","83.4","0.7"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2016","04000","Arizona","1,094,147","11,160","177,967","7,964","16.3","0.7","916,180","11,539","83.7","0.7"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2015","04000","Arizona","1,128,978","10,474","206,659","8,582","18.3","0.7","922,319","11,364","81.7","0.7"
"Under 65 years","<= 200% of Poverty","All Races","Female Only","2014","04000","Arizona","1,148,315","10,204","261,709","9,449","22.8","0.8","886,606","11,483","77.2","0.8"
