"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"18 to 64 years","<= 250% of Poverty","All Races","Female Only","2018","01000","Alabama","674,448","8,420","150,367","6,860","22.3","1.0","524,081","9,157","77.7","1.0"
"18 to 64 years","<= 250% of Poverty","All Races","Female Only","2017","01000","Alabama","678,965","8,185","141,690","6,605","20.9","0.9","537,275","8,917","79.1","0.9"
"18 to 64 years","<= 250% of Poverty","All Races","Female Only","2016","01000","Alabama","693,324","7,707","144,444","6,694","20.8","0.9","548,880","8,719","79.2","0.9"
"18 to 64 years","<= 250% of Poverty","All Races","Female Only","2015","01000","Alabama","718,056","7,205","163,685","7,171","22.8","1.0","554,371","8,787","77.2","1.0"
"18 to 64 years","<= 250% of Poverty","All Races","Female Only","2014","01000","Alabama","744,175","6,931","201,605","7,579","27.1","1.0","542,570","8,787","72.9","1.0"
"18 to 64 years","<= 250% of Poverty","All Races","Female Only","2013","01000","Alabama","744,677","7,007","226,664","8,146","30.4","1.1","518,013","9,143","69.6","1.1"
"18 to 64 years","<= 250% of Poverty","All Races","Female Only","2012","01000","Alabama","743,226","7,303","230,027","7,647","30.9","1.0","513,199","8,887","69.1","1.0"
"18 to 64 years","<= 250% of Poverty","All Races","Female Only","2011","01000","Alabama","747,431","7,956","237,708","8,057","31.8","1.0","509,723","9,350","68.2","1.0"
"18 to 64 years","<= 250% of Poverty","All Races","Female Only","2010","01000","Alabama","732,062","8,082","234,990","7,952","32.1","1.0","497,072","9,303","67.9","1.0"
"18 to 64 years","<= 250% of Poverty","All Races","Female Only","2009","01000","Alabama","686,726","9,826","212,368","8,296","30.9","1.1","474,358","10,151","69.1","1.1"
"18 to 64 years","<= 250% of Poverty","All Races","Female Only","2008","01000","Alabama","648,567","9,148","189,405","7,367","29.2","1.0","459,162","9,258","70.8","1.0"
"18 to 64 years","<= 250% of Poverty","All Races","Female Only","2007","01000","Alabama","619,094","21,791","173,644","16,874","28.0","2.6","445,450","22,505","72.0","2.6"
"18 to 64 years","<= 250% of Poverty","All Races","Female Only","2006","01000","Alabama","628,773","19,972","185,890","15,953","29.6","2.3","442,883","20,176","70.4","2.3"
"18 to 64 years","<= 250% of Poverty","All Races","Female Only","2018","02000","Alaska","69,265","1,866","17,335","1,319","25.0","1.8","51,930","1,846","75.0","1.8"
"18 to 64 years","<= 250% of Poverty","All Races","Female Only","2017","02000","Alaska","70,707","1,873","17,310","1,264","24.5","1.7","53,397","1,850","75.5","1.7"
"18 to 64 years","<= 250% of Poverty","All Races","Female Only","2016","02000","Alaska","69,279","1,810","19,956","1,332","28.8","1.8","49,323","1,782","71.2","1.8"
"18 to 64 years","<= 250% of Poverty","All Races","Female Only","2015","02000","Alaska","71,399","1,768","22,684","1,428","31.8","1.8","48,715","1,787","68.2","1.8"
"18 to 64 years","<= 250% of Poverty","All Races","Female Only","2014","02000","Alaska","74,506","1,836","28,211","1,577","37.9","1.9","46,295","1,825","62.1","1.9"
