"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2018","01000","Alabama","132,799","0","15,466","2,097","11.6","1.6","117,333","2,097","88.4","1.6"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2017","01000","Alabama","133,088","0","14,019","1,974","10.5","1.5","119,069","1,974","89.5","1.5"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2016","01000","Alabama","132,380","0","12,896","1,848","9.7","1.4","119,484","1,848","90.3","1.4"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2015","01000","Alabama","133,128","0","15,807","1,998","11.9","1.5","117,321","1,998","88.1","1.5"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2014","01000","Alabama","131,165","0","18,590","2,113","14.2","1.6","112,575","2,113","85.8","1.6"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2013","01000","Alabama","129,677","0","20,796","2,233","16.0","1.7","108,881","2,233","84.0","1.7"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2012","01000","Alabama","126,447","0","19,650","2,007","15.5","1.6","106,797","2,007","84.5","1.6"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2011","01000","Alabama","124,216","0","19,342","2,021","15.6","1.6","104,875","2,021","84.4","1.6"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2010","01000","Alabama","120,436","0","19,626","2,126","16.3","1.8","100,810","2,126","83.7","1.8"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2009","01000","Alabama","111,864","0","17,883","2,050","16.0","1.8","93,981","2,050","84.0","1.8"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2008","01000","Alabama","109,699","0","17,636","2,021","16.1","1.8","92,064","2,021","83.9","1.8"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2007","01000","Alabama","109,024","0","16,540","2,916","15.2","2.7","92,484","3,082","84.8","2.8"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2006","01000","Alabama","104,461","0","16,981","3,213","16.3","3.1","87,480","3,479","83.7","3.3"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2018","02000","Alaska","1,731","0","202","60","11.7","3.5","1,529","60","88.3","3.5"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2017","02000","Alaska","1,749","0","196","62","11.2","3.5","1,553","62","88.8","3.5"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2016","02000","Alaska","1,746","0","215","67","12.3","3.8","1,531","67","87.7","3.8"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2015","02000","Alaska","1,783","0","242","67","13.6","3.8","1,541","67","86.4","3.8"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2014","02000","Alaska","1,794","0","312","77","17.4","4.3","1,482","77","82.6","4.3"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2013","02000","Alaska","1,833","0","397","88","21.7","4.8","1,436","88","78.3","4.8"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2012","02000","Alaska","1,782","0","357","83","20.0","4.7","1,426","83","80.0","4.7"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2011","02000","Alaska","1,637","0","354","77","21.6","4.7","1,283","77","78.4","4.7"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2010","02000","Alaska","1,556","0","311","76","20.0","4.9","1,246","76","80.0","4.9"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2009","02000","Alaska","1,588","0","349","87","22.0","5.5","1,238","87","78.0","5.5"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2008","02000","Alaska","1,525","0","254","73","16.7","4.8","1,271","73","83.3","4.8"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2007","02000","Alaska","1,526","0","307","53","20.1","3.5","1,219","53","79.9","3.5"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2006","02000","Alaska","1,458","0","280","60","19.2","4.1","1,179","62","80.8","4.3"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2018","04000","Arizona","24,967","0","2,137","539","8.6","2.2","22,830","539","91.4","2.2"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2017","04000","Arizona","23,901","0","1,820","483","7.6","2.0","22,081","483","92.4","2.0"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2016","04000","Arizona","22,989","0","1,876","496","8.2","2.2","21,113","496","91.8","2.2"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2015","04000","Arizona","22,408","0","1,786","452","8.0","2.0","20,622","452","92.0","2.0"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2014","04000","Arizona","21,407","0","2,327","498","10.9","2.3","19,080","498","89.1","2.3"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2013","04000","Arizona","20,547","0","3,213","609","15.6","3.0","17,334","609","84.4","3.0"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2012","04000","Arizona","19,706","0","3,260","622","16.5","3.2","16,446","622","83.5","3.2"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2011","04000","Arizona","18,850","0","3,144","619","16.7","3.3","15,706","619","83.3","3.3"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2010","04000","Arizona","17,828","0","2,449","534","13.7","3.0","15,379","534","86.3","3.0"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2009","04000","Arizona","16,230","0","2,514","570","15.5","3.5","13,716","570","84.5","3.5"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2008","04000","Arizona","15,031","0","2,336","532","15.5","3.5","12,695","532","84.5","3.5"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2007","04000","Arizona","14,979","0","2,820","492","18.8","3.3","12,158","501","81.2","3.3"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2006","04000","Arizona","13,904","0","2,513","529","18.1","3.8","11,392","554","81.9","4.0"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2018","05000","Arkansas","44,236","0","3,030","685","6.8","1.5","41,206","685","93.2","1.5"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2017","05000","Arkansas","44,367","0","2,930","660","6.6","1.5","41,437","660","93.4","1.5"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2016","05000","Arkansas","44,160","0","2,735","623","6.2","1.4","41,425","623","93.8","1.4"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2015","05000","Arkansas","44,374","0","3,352","690","7.6","1.6","41,022","690","92.4","1.6"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2014","05000","Arkansas","43,804","0","4,450","798","10.2","1.8","39,354","798","89.8","1.8"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2013","05000","Arkansas","43,229","0","7,487","1,076","17.3","2.5","35,742","1,076","82.7","2.5"
"50 to 64 years","All Incomes","Black alone, Not Hispanic","Female Only","2012","05000","Arkansas","42,128","0","7,618","1,064","18.1","2.5","34,510","1,064","81.9","2.5"
