"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"Under 65 years","All Incomes","Black alone, Not Hispanic","Female Only","2018","01000","Alabama","578,385","0","69,252","5,069","12.0","0.9","509,133","5,069","88.0","0.9"
"Under 65 years","All Incomes","Black alone, Not Hispanic","Female Only","2017","01000","Alabama","581,535","0","59,969","4,636","10.3","0.8","521,566","4,636","89.7","0.8"
"Under 65 years","All Incomes","Black alone, Not Hispanic","Female Only","2016","01000","Alabama","582,889","0","60,423","4,602","10.4","0.8","522,466","4,602","89.6","0.8"
"Under 65 years","All Incomes","Black alone, Not Hispanic","Female Only","2015","01000","Alabama","588,623","0","73,155","4,910","12.4","0.8","515,468","4,910","87.6","0.8"
"Under 65 years","All Incomes","Black alone, Not Hispanic","Female Only","2014","01000","Alabama","589,715","0","87,232","5,177","14.8","0.9","502,483","5,177","85.2","0.9"
"Under 65 years","All Incomes","Black alone, Not Hispanic","Female Only","2013","01000","Alabama","588,898","0","104,210","5,769","17.7","1.0","484,688","5,769","82.3","1.0"
"Under 65 years","All Incomes","Black alone, Not Hispanic","Female Only","2012","01000","Alabama","585,828","0","101,136","5,250","17.3","0.9","484,692","5,250","82.7","0.9"
"Under 65 years","All Incomes","Black alone, Not Hispanic","Female Only","2011","01000","Alabama","584,091","0","104,537","5,415","17.9","0.9","479,555","5,415","82.1","0.9"
"Under 65 years","All Incomes","Black alone, Not Hispanic","Female Only","2010","01000","Alabama","582,136","0","107,063","5,659","18.4","1.0","475,073","5,659","81.6","1.0"
"Under 65 years","All Incomes","Black alone, Not Hispanic","Female Only","2009","01000","Alabama","564,875","0","100,200","5,821","17.7","1.0","464,675","5,821","82.3","1.0"
"Under 65 years","All Incomes","Black alone, Not Hispanic","Female Only","2008","01000","Alabama","560,323","0","91,247","5,366","16.3","1.0","469,076","5,366","83.7","1.0"
"Under 65 years","All Incomes","Black alone, Not Hispanic","Female Only","2007","01000","Alabama","581,374","0","104,251","10,948","17.9","1.9","477,123","11,532","82.1","2.0"
"Under 65 years","All Incomes","Black alone, Not Hispanic","Female Only","2006","01000","Alabama","578,326","0","109,333","11,327","18.9","2.0","468,994","12,713","81.1","2.2"
"Under 65 years","All Incomes","Black alone, Not Hispanic","Female Only","2018","02000","Alaska","9,371","0","1,275","213","13.6","2.3","8,096","213","86.4","2.3"
"Under 65 years","All Incomes","Black alone, Not Hispanic","Female Only","2017","02000","Alaska","9,356","0","1,254","216","13.4","2.3","8,102","216","86.6","2.3"
"Under 65 years","All Incomes","Black alone, Not Hispanic","Female Only","2016","02000","Alaska","9,496","0","1,280","209","13.5","2.2","8,216","209","86.5","2.2"
