"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2018","01000","Alabama","167,295","2,646","25,056","2,681","15.0","1.6","142,239","3,443","85.0","1.6"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2017","01000","Alabama","167,461","2,607","22,460","2,531","13.4","1.5","145,001","3,326","86.6","1.5"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2016","01000","Alabama","166,104","2,490","22,268","2,487","13.4","1.5","143,836","3,259","86.6","1.5"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2015","01000","Alabama","168,369","2,328","25,210","2,599","15.0","1.5","143,159","3,253","85.0","1.5"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2014","01000","Alabama","171,875","2,114","31,215","2,732","18.2","1.6","140,660","3,177","81.8","1.6"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2013","01000","Alabama","171,705","2,096","37,243","2,972","21.7","1.7","134,462","3,342","78.3","1.7"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2012","01000","Alabama","172,458","2,000","36,793","2,752","21.3","1.6","135,665","3,112","78.7","1.6"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2011","01000","Alabama","170,636","2,164","37,281","2,862","21.8","1.6","133,354","3,239","78.2","1.6"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2010","01000","Alabama","168,295","2,264","37,593","2,995","22.3","1.7","130,702","3,392","77.7","1.7"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2009","01000","Alabama","156,365","2,680","35,195","2,983","22.5","1.9","121,171","3,558","77.5","1.9"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2008","01000","Alabama","156,220","2,613","30,195","2,664","19.3","1.7","126,025","3,337","80.7","1.7"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2018","02000","Alaska","1,745","111","297","72","17.0","4.0","1,448","116","83.0","4.0"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2017","02000","Alaska","1,762","111","290","69","16.5","3.8","1,472","113","83.5","3.8"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2016","02000","Alaska","1,706","115","324","75","19.0","4.2","1,382","118","81.0","4.2"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2015","02000","Alaska","1,745","119","356","74","20.4","4.0","1,389","119","79.6","4.0"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2014","02000","Alaska","1,876","122","482","88","25.7","4.4","1,394","123","74.3","4.4"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2013","02000","Alaska","1,925","123","576","96","29.9","4.6","1,349","122","70.1","4.6"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2012","02000","Alaska","1,948","122","592","99","30.4","4.7","1,356","125","69.6","4.7"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2011","02000","Alaska","1,870","112","607","96","32.5","4.7","1,263","116","67.5","4.7"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2010","02000","Alaska","1,852","106","553","96","29.9","4.9","1,299","116","70.1","4.9"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2009","02000","Alaska","1,887","118","607","107","32.1","5.3","1,281","127","67.9","5.3"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2008","02000","Alaska","1,838","115","485","94","26.4","4.8","1,353","122","73.6","4.8"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2018","04000","Arizona","30,047","1,061","3,665","716","12.2","2.3","26,382","1,163","87.8","2.3"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2017","04000","Arizona","29,351","992","3,385","692","11.5","2.3","25,966","1,104","88.5","2.3"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2016","04000","Arizona","28,818","952","3,240","648","11.2","2.2","25,578","1,057","88.8","2.2"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2015","04000","Arizona","28,447","904","2,795","541","9.8","1.9","25,652","967","90.2","1.9"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2014","04000","Arizona","27,649","834","4,023","651","14.6","2.3","23,626","952","85.4","2.3"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2013","04000","Arizona","26,561","815","5,308","739","20.0","2.7","21,253","960","80.0","2.7"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2012","04000","Arizona","25,354","785","5,561","783","21.9","3.0","19,793","969","78.1","3.0"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2011","04000","Arizona","24,752","810","5,302","782","21.4","3.1","19,450","971","78.6","3.1"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2010","04000","Arizona","23,324","854","4,288","691","18.4","2.9","19,036","953","81.6","2.9"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2009","04000","Arizona","22,152","944","4,657","759","21.0","3.3","17,495","1,036","79.0","3.3"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2008","04000","Arizona","20,268","907","4,069","683","20.1","3.2","16,198","976","79.9","3.2"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2018","05000","Arkansas","57,376","1,231","5,465","982","9.5","1.7","51,911","1,480","90.5","1.7"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2017","05000","Arkansas","56,844","1,207","4,866","842","8.6","1.5","51,978","1,378","91.4","1.5"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2016","05000","Arkansas","57,678","1,159","5,237","910","9.1","1.6","52,441","1,379","90.9","1.6"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2015","05000","Arkansas","58,644","1,101","5,849","931","10.0","1.6","52,795","1,354","90.0","1.6"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2014","05000","Arkansas","58,981","1,029","8,226","1,113","13.9","1.9","50,755","1,411","86.1","1.9"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2013","05000","Arkansas","59,546","988","13,161","1,417","22.1","2.3","46,385","1,586","77.9","2.3"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2012","05000","Arkansas","58,673","966","13,784","1,443","23.5","2.4","44,889","1,593","76.5","2.4"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2011","05000","Arkansas","58,196","1,014","13,600","1,419","23.4","2.4","44,596","1,578","76.6","2.4"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2010","05000","Arkansas","56,906","1,061","14,861","1,546","26.1","2.7","42,045","1,683","73.9","2.7"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2009","05000","Arkansas","55,295","1,243","14,468","1,617","26.2","2.9","40,827","1,813","73.8","2.9"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2008","05000","Arkansas","55,395","1,175","12,604","1,440","22.8","2.5","42,791","1,668","77.2","2.5"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2018","06000","California","220,273","4,254","15,331","2,158","7.0","1.0","204,942","4,502","93.0","1.0"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2017","06000","California","225,417","4,152","13,460","1,939","6.0","0.9","211,957","4,368","94.0","0.9"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2016","06000","California","229,427","3,979","15,027","2,107","6.5","0.9","214,400","4,268","93.5","0.9"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2015","06000","California","234,291","3,737","16,202","2,130","6.9","0.9","218,089","4,070","93.1","0.9"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2014","06000","California","240,418","3,474","31,208","2,985","13.0","1.2","209,210","4,245","87.0","1.2"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2013","06000","California","240,090","3,557","45,340","3,631","18.9","1.5","194,750","4,573","81.1","1.5"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2012","06000","California","244,050","3,568","51,871","3,729","21.3","1.5","192,178","4,596","78.7","1.5"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2011","06000","California","240,792","3,973","49,430","3,870","20.5","1.6","191,362","4,860","79.5","1.6"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2010","06000","California","234,514","4,120","49,453","3,896","21.1","1.6","185,061","4,946","78.9","1.6"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2009","06000","California","221,833","5,210","48,458","4,139","21.8","1.8","173,376","5,650","78.2","1.8"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2008","06000","California","214,934","4,945","43,146","3,630","20.1","1.6","171,788","5,270","79.9","1.6"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2018","08000","Colorado","18,999","865","1,773","400","9.3","2.1","17,226","876","90.7","2.1"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2017","08000","Colorado","18,710","805","1,578","364","8.4","1.9","17,132","819","91.6","1.9"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2016","08000","Colorado","19,202","801","1,520","348","7.9","1.8","17,682","812","92.1","1.8"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2015","08000","Colorado","19,662","783","1,802","373","9.2","1.9","17,860","800","90.8","1.9"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2014","08000","Colorado","19,858","750","2,635","475","13.3","2.3","17,223","797","86.7","2.3"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2013","08000","Colorado","19,707","730","3,701","554","18.8","2.7","16,006","794","81.2","2.7"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2012","08000","Colorado","19,584","678","4,001","584","20.4","2.9","15,583","776","79.6","2.9"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2011","08000","Colorado","19,186","703","3,975","608","20.7","3.1","15,211","796","79.3","3.1"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2010","08000","Colorado","18,583","723","4,140","657","22.3","3.4","14,443","838","77.7","3.4"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2009","08000","Colorado","17,620","802","3,951","627","22.4","3.4","13,670","857","77.6","3.4"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2008","08000","Colorado","16,206","778","3,525","608","21.7","3.6","12,681","838","78.3","3.6"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2018","09000","Connecticut","38,819","1,374","3,114","639","8.0","1.6","35,705","1,420","92.0","1.6"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2017","09000","Connecticut","38,556","1,331","3,131","663","8.1","1.7","35,425","1,394","91.9","1.7"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2016","09000","Connecticut","38,370","1,280","2,652","560","6.9","1.4","35,718","1,319","93.1","1.4"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2015","09000","Connecticut","39,360","1,259","3,369","651","8.6","1.6","35,991","1,319","91.4","1.6"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2014","09000","Connecticut","39,767","1,193","4,050","684","10.2","1.7","35,717","1,264","89.8","1.7"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2013","09000","Connecticut","39,110","1,212","6,630","957","17.0","2.4","32,480","1,370","83.0","2.4"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2012","09000","Connecticut","39,305","1,156","6,736","953","17.1","2.4","32,569","1,331","82.9","2.4"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2011","09000","Connecticut","38,242","1,221","6,584","960","17.2","2.4","31,658","1,369","82.8","2.4"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2010","09000","Connecticut","37,098","1,280","6,327","962","17.1","2.5","30,771","1,402","82.9","2.5"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2009","09000","Connecticut","33,325","1,439","5,296","843","15.9","2.4","28,029","1,459","84.1","2.4"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2008","09000","Connecticut","32,586","1,391","5,580","893","17.1","2.6","27,006","1,436","82.9","2.6"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2018","10000","Delaware","22,910","941","1,577","379","6.9","1.6","21,333","952","93.1","1.6"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2017","10000","Delaware","23,155","876","1,490","360","6.4","1.5","21,665","889","93.6","1.5"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2016","10000","Delaware","22,723","862","2,007","437","8.8","1.9","20,716","891","91.2","1.9"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2015","10000","Delaware","22,720","852","1,789","398","7.9","1.7","20,931","873","92.1","1.7"
"40 to 64 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2014","10000","Delaware","23,280","805","2,574","479","11.1","2.0","20,706","853","88.9","2.0"
