"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"Under 65 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2018","01000","Alabama","484,320","4,265","64,328","4,870","13.3","1.0","419,992","5,966","86.7","1.0"
"Under 65 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2017","01000","Alabama","488,213","4,260","56,062","4,445","11.5","0.9","432,151","5,740","88.5","0.9"
"Under 65 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2016","01000","Alabama","488,985","4,002","57,011","4,461","11.7","0.9","431,974","5,592","88.3","0.9"
"Under 65 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2015","01000","Alabama","499,874","3,629","69,520","4,791","13.9","1.0","430,354","5,658","86.1","1.0"
"Under 65 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2014","01000","Alabama","505,821","3,379","82,962","5,018","16.4","1.0","422,859","5,664","83.6","1.0"
"Under 65 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2013","01000","Alabama","508,580","3,347","99,085","5,589","19.5","1.1","409,495","6,091","80.5","1.1"
"Under 65 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2012","01000","Alabama","509,575","3,238","96,841","5,078","19.0","1.0","412,733","5,563","81.0","1.0"
"Under 65 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2011","01000","Alabama","507,291","3,446","99,476","5,241","19.6","1.0","407,815","5,750","80.4","1.0"
"Under 65 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2010","01000","Alabama","504,447","3,727","102,137","5,467","20.2","1.1","402,310","6,058","79.8","1.1"
"Under 65 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2009","01000","Alabama","484,412","4,256","96,029","5,730","19.8","1.2","388,383","6,509","80.2","1.2"
"Under 65 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2008","01000","Alabama","477,423","4,158","86,920","5,198","18.2","1.1","390,504","6,098","81.8","1.1"
"Under 65 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2018","02000","Alaska","6,873","210","1,093","195","15.9","2.8","5,780","258","84.1","2.8"
"Under 65 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2017","02000","Alaska","6,834","207","1,082","193","15.8","2.8","5,752","255","84.2","2.8"
"Under 65 years","<= 400% of Poverty","Black alone, Not Hispanic","Female Only","2016","02000","Alaska","6,885","214","1,109","189","16.1","2.7","5,776","255","83.9","2.7"
