"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2018","01000","Alabama","53,838","0","19,963","1,628","37.1","3.0","33,875","1,628","62.9","3.0"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2017","01000","Alabama","52,040","0","17,829","1,623","34.3","3.1","34,211","1,623","65.7","3.1"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2016","01000","Alabama","50,333","0","18,947","1,630","37.6","3.2","31,386","1,630","62.4","3.2"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2015","01000","Alabama","50,343","0","19,028","1,652","37.8","3.3","31,315","1,652","62.2","3.3"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2014","01000","Alabama","50,092","0","21,195","1,591","42.3","3.2","28,897","1,591","57.7","3.2"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2013","01000","Alabama","48,599","0","23,009","1,622","47.3","3.3","25,590","1,622","52.7","3.3"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2012","01000","Alabama","48,038","0","23,382","1,575","48.7","3.3","24,657","1,575","51.3","3.3"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2011","01000","Alabama","47,583","0","23,193","1,601","48.7","3.4","24,390","1,601","51.3","3.4"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2010","01000","Alabama","46,234","0","24,027","1,537","52.0","3.3","22,207","1,537","48.0","3.3"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2009","01000","Alabama","34,167","0","16,150","1,177","47.3","3.4","18,017","1,177","52.7","3.4"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2008","01000","Alabama","30,432","0","13,233","1,021","43.5","3.4","17,199","1,021","56.5","3.4"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2007","01000","Alabama","30,343","0","10,553","1,155","34.8","3.8","19,791","1,161","65.2","3.8"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2006","01000","Alabama","29,529","0","10,753","1,330","36.4","4.5","18,776","1,337","63.6","4.5"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2018","02000","Alaska","14,889","0","3,981","514","26.7","3.5","10,908","514","73.3","3.5"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2017","02000","Alaska","14,678","0","3,892","508","26.5","3.5","10,786","508","73.5","3.5"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2016","02000","Alaska","14,351","0","4,408","532","30.7","3.7","9,943","532","69.3","3.7"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2015","02000","Alaska","14,228","0","4,201","485","29.5","3.4","10,027","485","70.5","3.4"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2014","02000","Alaska","13,805","0","5,149","547","37.3","4.0","8,656","547","62.7","4.0"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2013","02000","Alaska","13,305","0","5,386","498","40.5","3.7","7,919","498","59.5","3.7"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2012","02000","Alaska","12,649","0","5,069","480","40.1","3.8","7,580","480","59.9","3.8"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2011","02000","Alaska","11,931","0","5,113","455","42.9","3.8","6,818","455","57.1","3.8"
"18 to 64 years","All Incomes","Hispanic (any race)","Female Only","2010","02000","Alaska","11,236","0","4,449","460","39.6","4.1","6,788","460","60.4","4.1"
