"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"Under 65 years","<= 250% of Poverty","Hispanic (any race)","Female Only","2018","01000","Alabama","66,497","1,507","19,072","1,702","28.7","2.5","47,425","1,932","71.3","2.5"
"Under 65 years","<= 250% of Poverty","Hispanic (any race)","Female Only","2017","01000","Alabama","64,706","1,456","16,775","1,589","25.9","2.4","47,931","1,870","74.1","2.4"
"Under 65 years","<= 250% of Poverty","Hispanic (any race)","Female Only","2016","01000","Alabama","63,038","1,371","17,836","1,610","28.3","2.5","45,202","1,835","71.7","2.5"
"Under 65 years","<= 250% of Poverty","Hispanic (any race)","Female Only","2015","01000","Alabama","64,863","1,278","18,550","1,655","28.6","2.5","46,313","1,846","71.4","2.5"
"Under 65 years","<= 250% of Poverty","Hispanic (any race)","Female Only","2014","01000","Alabama","65,656","1,222","21,310","1,641","32.5","2.4","44,346","1,770","67.5","2.4"
"Under 65 years","<= 250% of Poverty","Hispanic (any race)","Female Only","2013","01000","Alabama","64,722","1,168","22,667","1,626","35.0","2.4","42,055","1,726","65.0","2.4"
"Under 65 years","<= 250% of Poverty","Hispanic (any race)","Female Only","2012","01000","Alabama","64,224","1,124","23,411","1,656","36.5","2.5","40,813","1,726","63.5","2.5"
"Under 65 years","<= 250% of Poverty","Hispanic (any race)","Female Only","2011","01000","Alabama","63,141","1,163","24,889","1,857","39.4","2.8","38,252","1,914","60.6","2.8"
"Under 65 years","<= 250% of Poverty","Hispanic (any race)","Female Only","2010","01000","Alabama","60,865","1,252","25,764","1,805","42.3","2.8","35,101","1,800","57.7","2.8"
"Under 65 years","<= 250% of Poverty","Hispanic (any race)","Female Only","2009","01000","Alabama","49,379","1,132","18,016","1,475","36.5","2.9","31,363","1,584","63.5","2.9"
"Under 65 years","<= 250% of Poverty","Hispanic (any race)","Female Only","2008","01000","Alabama","41,545","1,063","15,289","1,405","36.8","3.2","26,256","1,510","63.2","3.2"
"Under 65 years","<= 250% of Poverty","Hispanic (any race)","Female Only","2007","01000","Alabama","40,692","1,422","13,295","1,685","32.7","4.0","27,397","1,862","67.3","4.0"
"Under 65 years","<= 250% of Poverty","Hispanic (any race)","Female Only","2006","01000","Alabama","36,278","2,007","12,826","1,769","35.4","4.5","23,452","2,124","64.6","4.5"
"Under 65 years","<= 250% of Poverty","Hispanic (any race)","Female Only","2018","02000","Alaska","11,755","543","3,344","464","28.4","3.7","8,411","587","71.6","3.7"
"Under 65 years","<= 250% of Poverty","Hispanic (any race)","Female Only","2017","02000","Alaska","11,554","518","3,314","440","28.7","3.6","8,240","549","71.3","3.6"
"Under 65 years","<= 250% of Poverty","Hispanic (any race)","Female Only","2016","02000","Alaska","11,890","525","3,744","458","31.5","3.6","8,146","554","68.5","3.6"
"Under 65 years","<= 250% of Poverty","Hispanic (any race)","Female Only","2015","02000","Alaska","11,955","521","3,734","447","31.2","3.5","8,221","555","68.8","3.5"
"Under 65 years","<= 250% of Poverty","Hispanic (any race)","Female Only","2014","02000","Alaska","12,250","518","4,700","499","38.4","3.7","7,550","550","61.6","3.7"
"Under 65 years","<= 250% of Poverty","Hispanic (any race)","Female Only","2013","02000","Alaska","12,047","499","4,855","472","40.3","3.5","7,192","516","59.7","3.5"
"Under 65 years","<= 250% of Poverty","Hispanic (any race)","Female Only","2012","02000","Alaska","11,357","454","4,569","451","40.2","3.6","6,788","484","59.8","3.6"
"Under 65 years","<= 250% of Poverty","Hispanic (any race)","Female Only","2011","02000","Alaska","10,974","429","4,627","432","42.2","3.6","6,348","464","57.8","3.6"
