"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"50 to 64 years","<= 400% of Poverty","Hispanic (any race)","Female Only","2018","01000","Alabama","6,488","404","1,900","439","29.3","6.5","4,588","507","70.7","6.5"
"50 to 64 years","<= 400% of Poverty","Hispanic (any race)","Female Only","2017","01000","Alabama","6,116","362","1,654","388","27.0","6.1","4,462","453","73.0","6.1"
"50 to 64 years","<= 400% of Poverty","Hispanic (any race)","Female Only","2016","01000","Alabama","5,950","336","1,922","416","32.3","6.7","4,028","456","67.7","6.7"
"50 to 64 years","<= 400% of Poverty","Hispanic (any race)","Female Only","2015","01000","Alabama","5,609","315","1,687","366","30.1","6.3","3,922","413","69.9","6.3"
"50 to 64 years","<= 400% of Poverty","Hispanic (any race)","Female Only","2014","01000","Alabama","5,591","277","1,980","346","35.4","5.9","3,611","374","64.6","5.9"
"50 to 64 years","<= 400% of Poverty","Hispanic (any race)","Female Only","2013","01000","Alabama","5,185","273","2,047","339","39.5","6.1","3,138","355","60.5","6.1"
"50 to 64 years","<= 400% of Poverty","Hispanic (any race)","Female Only","2012","01000","Alabama","4,874","253","1,976","319","40.5","6.2","2,898","333","59.5","6.2"
"50 to 64 years","<= 400% of Poverty","Hispanic (any race)","Female Only","2011","01000","Alabama","4,803","233","1,859","309","38.7","6.1","2,944","322","61.3","6.1"
"50 to 64 years","<= 400% of Poverty","Hispanic (any race)","Female Only","2010","01000","Alabama","4,271","230","1,641","296","38.4","6.6","2,630","312","61.6","6.6"
"50 to 64 years","<= 400% of Poverty","Hispanic (any race)","Female Only","2009","01000","Alabama","4,086","208","1,556","303","38.1","7.1","2,530","317","61.9","7.1"
"50 to 64 years","<= 400% of Poverty","Hispanic (any race)","Female Only","2008","01000","Alabama","3,708","186","1,306","251","35.2","6.5","2,402","269","64.8","6.5"
"50 to 64 years","<= 400% of Poverty","Hispanic (any race)","Female Only","2018","02000","Alaska","1,762","152","569","134","32.3","7.1","1,193","162","67.7","7.1"
"50 to 64 years","<= 400% of Poverty","Hispanic (any race)","Female Only","2017","02000","Alaska","1,658","148","517","127","31.2","7.1","1,141","156","68.8","7.1"
"50 to 64 years","<= 400% of Poverty","Hispanic (any race)","Female Only","2016","02000","Alaska","1,567","140","543","130","34.7","7.7","1,024","150","65.3","7.7"
"50 to 64 years","<= 400% of Poverty","Hispanic (any race)","Female Only","2015","02000","Alaska","1,596","138","574","126","36.0","7.2","1,022","144","64.0","7.2"
"50 to 64 years","<= 400% of Poverty","Hispanic (any race)","Female Only","2014","02000","Alaska","1,597","136","692","128","43.3","7.1","905","137","56.7","7.1"
"50 to 64 years","<= 400% of Poverty","Hispanic (any race)","Female Only","2013","02000","Alaska","1,594","128","744","123","46.7","6.7","850","125","53.3","6.7"
"50 to 64 years","<= 400% of Poverty","Hispanic (any race)","Female Only","2012","02000","Alaska","1,513","126","738","126","48.8","7.2","775","126","51.2","7.2"
