"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"18 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2018","01000","Alabama","957,295","0","108,420","5,830","11.3","0.6","848,875","5,830","88.7","0.6"
"18 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2017","01000","Alabama","960,893","0","105,069","5,752","10.9","0.6","855,824","5,752","89.1","0.6"
"18 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2016","01000","Alabama","966,266","0","101,777","5,702","10.5","0.6","864,489","5,702","89.5","0.6"
"18 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2015","01000","Alabama","973,011","0","108,852","5,837","11.2","0.6","864,159","5,837","88.8","0.6"
"18 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2014","01000","Alabama","978,551","0","135,399","6,305","13.8","0.6","843,152","6,305","86.2","0.6"
"18 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2013","01000","Alabama","984,924","0","151,346","6,806","15.4","0.7","833,578","6,806","84.6","0.7"
"18 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2012","01000","Alabama","986,998","0","153,528","6,490","15.6","0.7","833,470","6,490","84.4","0.7"
"18 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2011","01000","Alabama","993,026","0","160,548","6,948","16.2","0.7","832,478","6,948","83.8","0.7"
"18 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2010","01000","Alabama","993,403","0","155,815","6,694","15.7","0.7","837,588","6,694","84.3","0.7"
"18 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2009","01000","Alabama","986,836","0","146,058","6,735","14.8","0.7","840,778","6,735","85.2","0.7"
"18 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2008","01000","Alabama","984,727","0","147,017","6,632","14.9","0.7","837,710","6,632","85.1","0.7"
"18 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2007","01000","Alabama","990,019","0","124,886","13,082","12.6","1.3","865,133","13,532","87.4","1.4"
"18 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2006","01000","Alabama","991,512","0","141,316","13,760","14.3","1.4","850,196","14,756","85.7","1.5"
"18 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2018","02000","Alaska","132,864","0","14,142","1,444","10.6","1.1","118,722","1,444","89.4","1.1"
"18 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2017","02000","Alaska","135,783","0","13,173","1,432","9.7","1.1","122,610","1,432","90.3","1.1"
"18 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2016","02000","Alaska","138,792","0","14,378","1,519","10.4","1.1","124,414","1,519","89.6","1.1"
"18 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2015","02000","Alaska","138,973","0","16,735","1,576","12.0","1.1","122,238","1,576","88.0","1.1"
"18 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2014","02000","Alaska","141,410","0","21,715","1,814","15.4","1.3","119,695","1,814","84.6","1.3"
"18 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2013","02000","Alaska","143,498","0","23,936","1,897","16.7","1.3","119,562","1,897","83.3","1.3"
"18 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2012","02000","Alaska","146,244","0","26,648","1,952","18.2","1.3","119,596","1,952","81.8","1.3"
"18 to 64 years","All Incomes","White alone, Not Hispanic","Female Only","2011","02000","Alaska","147,206","0","26,256","2,071","17.8","1.4","120,950","2,071","82.2","1.4"
