"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2018","01000","Alabama","86,929","3,614","21,855","2,409","25.1","2.6","65,074","3,538","74.9","2.6"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2017","01000","Alabama","85,701","3,572","23,538","2,518","27.5","2.7","62,163","3,466","72.5","2.7"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2016","01000","Alabama","90,451","3,410","22,237","2,418","24.6","2.5","68,214","3,414","75.4","2.5"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2015","01000","Alabama","92,145","3,296","24,062","2,480","26.1","2.5","68,083","3,337","73.9","2.5"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2014","01000","Alabama","96,113","3,100","30,648","2,632","31.9","2.5","65,465","3,213","68.1","2.5"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2013","01000","Alabama","97,523","3,272","32,114","2,779","32.9","2.6","65,409","3,352","67.1","2.6"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2012","01000","Alabama","99,115","3,265","35,494","2,748","35.8","2.5","63,620","3,234","64.2","2.5"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2011","01000","Alabama","98,679","3,781","36,758","2,994","37.3","2.7","61,921","3,537","62.7","2.7"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2010","01000","Alabama","97,632","3,647","35,237","2,892","36.1","2.6","62,395","3,453","63.9","2.6"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2009","01000","Alabama","85,038","3,972","28,491","2,687","33.5","2.7","56,547","3,492","66.5","2.7"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2008","01000","Alabama","79,945","3,586","24,258","2,324","30.3","2.5","55,687","3,191","69.7","2.5"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2018","02000","Alaska","6,442","652","1,400","336","21.7","4.7","5,042","589","78.3","4.7"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2017","02000","Alaska","6,636","684","1,278","293","19.3","4.0","5,358","615","80.7","4.0"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2016","02000","Alaska","6,319","626","1,402","313","22.2","4.4","4,917","562","77.8","4.4"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2015","02000","Alaska","6,542","621","2,047","396","31.3","5.2","4,495","545","68.7","5.2"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2014","02000","Alaska","7,184","649","2,621","435","36.5","5.0","4,563","547","63.5","5.0"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2013","02000","Alaska","6,997","674","3,081","477","44.0","5.2","3,916","522","56.0","5.2"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2012","02000","Alaska","7,660","723","3,150","487","41.1","5.0","4,510","570","58.9","5.0"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2011","02000","Alaska","7,786","804","3,372","540","43.3","5.2","4,414","605","56.7","5.2"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2010","02000","Alaska","7,349","778","3,050","527","41.5","5.6","4,299","606","58.5","5.6"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2009","02000","Alaska","6,598","745","2,794","497","42.4","5.7","3,804","563","57.6","5.7"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2008","02000","Alaska","5,859","662","2,337","423","39.9","5.5","3,522","507","60.1","5.5"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2018","04000","Arizona","81,975","3,689","11,545","1,752","14.1","2.0","70,430","3,594","85.9","2.0"
"40 to 64 years","<= 138% of Poverty","White alone, Not Hispanic","Female Only","2017","04000","Arizona","86,652","3,793","12,793","1,900","14.8","2.1","73,859","3,712","85.2","2.1"
