"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"Under 65 years","<= 400% of Poverty","White alone, Not Hispanic","Female Only","2018","01000","Alabama","772,213","8,467","101,592","5,585","13.2","0.7","670,621","9,057","86.8","0.7"
"Under 65 years","<= 400% of Poverty","White alone, Not Hispanic","Female Only","2017","01000","Alabama","782,524","8,451","100,125","5,502","12.8","0.7","682,399","9,021","87.2","0.7"
"Under 65 years","<= 400% of Poverty","White alone, Not Hispanic","Female Only","2016","01000","Alabama","796,335","7,819","98,022","5,549","12.3","0.7","698,313","8,551","87.7","0.7"
"Under 65 years","<= 400% of Poverty","White alone, Not Hispanic","Female Only","2015","01000","Alabama","821,190","7,288","105,053","5,688","12.8","0.7","716,137","8,378","87.2","0.7"
"Under 65 years","<= 400% of Poverty","White alone, Not Hispanic","Female Only","2014","01000","Alabama","845,289","6,932","133,135","6,188","15.8","0.7","712,154","8,331","84.2","0.7"
"Under 65 years","<= 400% of Poverty","White alone, Not Hispanic","Female Only","2013","01000","Alabama","850,592","6,919","148,624","6,632","17.5","0.8","701,968","8,461","82.5","0.8"
"Under 65 years","<= 400% of Poverty","White alone, Not Hispanic","Female Only","2012","01000","Alabama","857,783","6,739","150,913","6,381","17.6","0.7","706,869","8,198","82.4","0.7"
"Under 65 years","<= 400% of Poverty","White alone, Not Hispanic","Female Only","2011","01000","Alabama","859,940","7,493","159,436","6,819","18.5","0.8","700,504","8,765","81.5","0.8"
"Under 65 years","<= 400% of Poverty","White alone, Not Hispanic","Female Only","2010","01000","Alabama","852,723","7,548","156,357","6,637","18.3","0.8","696,366","8,800","81.7","0.8"
"Under 65 years","<= 400% of Poverty","White alone, Not Hispanic","Female Only","2009","01000","Alabama","843,389","10,118","148,493","6,907","17.6","0.8","694,896","10,687","82.4","0.8"
"Under 65 years","<= 400% of Poverty","White alone, Not Hispanic","Female Only","2008","01000","Alabama","814,439","9,561","149,172","6,718","18.3","0.8","665,267","10,139","81.7","0.8"
"Under 65 years","<= 400% of Poverty","White alone, Not Hispanic","Female Only","2018","02000","Alaska","82,498","2,227","12,876","1,299","15.6","1.5","69,622","2,235","84.4","1.5"
"Under 65 years","<= 400% of Poverty","White alone, Not Hispanic","Female Only","2017","02000","Alaska","86,287","2,255","11,987","1,225","13.9","1.4","74,300","2,261","86.1","1.4"
"Under 65 years","<= 400% of Poverty","White alone, Not Hispanic","Female Only","2016","02000","Alaska","85,561","2,240","12,724","1,285","14.9","1.4","72,837","2,268","85.1","1.4"
"Under 65 years","<= 400% of Poverty","White alone, Not Hispanic","Female Only","2015","02000","Alaska","87,537","2,117","15,252","1,378","17.4","1.5","72,285","2,191","82.6","1.5"
"Under 65 years","<= 400% of Poverty","White alone, Not Hispanic","Female Only","2014","02000","Alaska","91,466","2,108","19,416","1,537","21.2","1.6","72,050","2,203","78.8","1.6"
"Under 65 years","<= 400% of Poverty","White alone, Not Hispanic","Female Only","2013","02000","Alaska","93,268","2,163","21,902","1,639","23.5","1.7","71,366","2,222","76.5","1.7"
"Under 65 years","<= 400% of Poverty","White alone, Not Hispanic","Female Only","2012","02000","Alaska","94,349","2,159","23,225","1,647","24.6","1.6","71,125","2,214","75.4","1.6"
"Under 65 years","<= 400% of Poverty","White alone, Not Hispanic","Female Only","2011","02000","Alaska","97,550","2,337","22,936","1,736","23.5","1.7","74,614","2,369","76.5","1.7"
"Under 65 years","<= 400% of Poverty","White alone, Not Hispanic","Female Only","2010","02000","Alaska","97,776","2,517","22,721","1,914","23.2","1.8","75,054","2,613","76.8","1.8"
"Under 65 years","<= 400% of Poverty","White alone, Not Hispanic","Female Only","2009","02000","Alaska","95,156","2,990","24,623","2,063","25.9","2.0","70,533","2,930","74.1","2.0"
